modelo,entity,doc_id,template,complete_prediction,token,pred_type,matched_annotation,full_matched_sentence,ann_entity_id,annt_type,result,word_category,pct_tp_participant_level,result_type
qwen3_14b,participants,lusa_1,cls_exp_temp0.3_nodelim_norole_nocot,"['comando', 'territorial', 'de', 'faro', 'da', 'gnr']",o,Org,o Comando Territorial,"A GNR acabou no sábado com uma festa ilegal num bar em Corotelo, concelho de São Brás de Alportel, que reunia cerca de 50 pessoas, foi hoje anunciado.",T29,Org,fn,Artigos,0.4444444444444444,PARTIAL
qwen3_14b,participants,lusa_1,cls_exp_temp0.3_nodelim_norole_nocot,"['comando', 'territorial', 'de', 'faro', 'da', 'gnr']",comando,Org,o Comando Territorial,"A GNR acabou no sábado com uma festa ilegal num bar em Corotelo, concelho de São Brás de Alportel, que reunia cerca de 50 pessoas, foi hoje anunciado.",T29,Org,tp,Nao definido,0.4444444444444444,PARTIAL
qwen3_14b,participants,lusa_1,cls_exp_temp0.3_nodelim_norole_nocot,"['comando', 'territorial', 'de', 'faro', 'da', 'gnr']",territorial,Org,o Comando Territorial,"A GNR acabou no sábado com uma festa ilegal num bar em Corotelo, concelho de São Brás de Alportel, que reunia cerca de 50 pessoas, foi hoje anunciado.",T29,Org,tp,Nao definido,0.4444444444444444,PARTIAL
qwen3_14b,participants,lusa_1,cls_exp_temp0.3_nodelim_norole_nocot,"['comando', 'territorial', 'de', 'faro', 'da', 'gnr']",de,Org,o Comando Territorial,"A GNR acabou no sábado com uma festa ilegal num bar em Corotelo, concelho de São Brás de Alportel, que reunia cerca de 50 pessoas, foi hoje anunciado.",T29,Org,fp,Preposições e Contrações,0.4444444444444444,PARTIAL
qwen3_14b,participants,lusa_1,cls_exp_temp0.3_nodelim_norole_nocot,"['comando', 'territorial', 'de', 'faro', 'da', 'gnr']",faro,Org,o Comando Territorial,"A GNR acabou no sábado com uma festa ilegal num bar em Corotelo, concelho de São Brás de Alportel, que reunia cerca de 50 pessoas, foi hoje anunciado.",T29,Org,fp,Nao definido,0.4444444444444444,PARTIAL
qwen3_14b,participants,lusa_1,cls_exp_temp0.3_nodelim_norole_nocot,"['comando', 'territorial', 'de', 'faro', 'da', 'gnr']",da,Org,o Comando Territorial,"A GNR acabou no sábado com uma festa ilegal num bar em Corotelo, concelho de São Brás de Alportel, que reunia cerca de 50 pessoas, foi hoje anunciado.",T29,Org,fp,Preposições e Contrações,0.4444444444444444,PARTIAL
qwen3_14b,participants,lusa_1,cls_exp_temp0.3_nodelim_norole_nocot,"['comando', 'territorial', 'de', 'faro', 'da', 'gnr']",gnr,Org,o Comando Territorial,"A GNR acabou no sábado com uma festa ilegal num bar em Corotelo, concelho de São Brás de Alportel, que reunia cerca de 50 pessoas, foi hoje anunciado.",T29,Org,fp,Nao definido,0.4444444444444444,PARTIAL
qwen3_14b,participants,lusa_1,cls_exp_temp0.3_nodelim_norole_nocot,"['os', 'militares']",os,Per,Os militares,Os militares desmobilizaram as pessoas para “cumprimento das normas referentes à pandemia de covid-19”.,T36,Per,tp,Artigos,1.0,EXACT
qwen3_14b,participants,lusa_1,cls_exp_temp0.3_nodelim_norole_nocot,"['os', 'militares']",militares,Per,Os militares,Os militares desmobilizaram as pessoas para “cumprimento das normas referentes à pandemia de covid-19”.,T36,Per,tp,Nao definido,1.0,EXACT
qwen3_14b,participants,lusa_1,cls_exp_temp0.3_nodelim_norole_nocot,['corotelo'],corotelo,Loc,Corotelo,"A GNR acabou no sábado com uma festa ilegal num bar em Corotelo, concelho de São Brás de Alportel, que reunia cerca de 50 pessoas, foi hoje anunciado.",T25,Pl_civil,tp,Nao definido,1.0,EXACT
qwen3_14b,participants,lusa_1,cls_exp_temp0.3_nodelim_norole_nocot,"['a', 'gnr']",a,Org,A GNR,"A GNR acabou no sábado com uma festa ilegal num bar em Corotelo, concelho de São Brás de Alportel, que reunia cerca de 50 pessoas, foi hoje anunciado.",T24,Org,tp,Artigos,1.0,EXACT
qwen3_14b,participants,lusa_1,cls_exp_temp0.3_nodelim_norole_nocot,"['a', 'gnr']",gnr,Org,A GNR,"A GNR acabou no sábado com uma festa ilegal num bar em Corotelo, concelho de São Brás de Alportel, que reunia cerca de 50 pessoas, foi hoje anunciado.",T24,Org,tp,Nao definido,1.0,EXACT
qwen3_14b,participants,lusa_1,cls_exp_temp0.3_nodelim_norole_nocot,"['as', 'pessoas']",as,Per,as pessoas,Os militares desmobilizaram as pessoas para “cumprimento das normas referentes à pandemia de covid-19”.,T37,Per,tp,Artigos,1.0,EXACT
qwen3_14b,participants,lusa_1,cls_exp_temp0.3_nodelim_norole_nocot,"['as', 'pessoas']",pessoas,Per,as pessoas,Os militares desmobilizaram as pessoas para “cumprimento das normas referentes à pandemia de covid-19”.,T37,Per,tp,Substantivos Genéricos (Atores),1.0,EXACT
qwen3_14b,participants,lusa_1,cls_exp_temp0.3_nodelim_norole_nocot,['militares'],militares,Per,militares,Os militares desmobilizaram as pessoas para “cumprimento das normas referentes à pandemia de covid-19”.,T33,Per,tp,Nao definido,1.0,EXACT
qwen3_14b,participants,lusa_1,cls_exp_temp0.3_nodelim_norole_nocot,"['a', 'nota']",a,Obj,nota,Na nota é ainda referido que o proprietário foi identificado e foi elaborado “um auto de contraordenação”.,T39,Obj,fp,Artigos,0.6666666666666666,PARTIAL
qwen3_14b,participants,lusa_1,cls_exp_temp0.3_nodelim_norole_nocot,"['a', 'nota']",nota,Obj,nota,Na nota é ainda referido que o proprietário foi identificado e foi elaborado “um auto de contraordenação”.,T39,Obj,tp,Nao definido,0.6666666666666666,PARTIAL
qwen3_14b,participants,lusa_1,cls_exp_temp0.3_nodelim_norole_nocot,"['um', 'bar']",um,Fac,bar,"A GNR acabou no sábado com uma festa ilegal num bar em Corotelo, concelho de São Brás de Alportel, que reunia cerca de 50 pessoas, foi hoje anunciado.",T42,Fac,fp,Artigos,0.6666666666666666,PARTIAL
qwen3_14b,participants,lusa_1,cls_exp_temp0.3_nodelim_norole_nocot,"['um', 'bar']",bar,Fac,bar,"A GNR acabou no sábado com uma festa ilegal num bar em Corotelo, concelho de São Brás de Alportel, que reunia cerca de 50 pessoas, foi hoje anunciado.",T42,Fac,tp,Nao definido,0.6666666666666666,PARTIAL
qwen3_14b,participants,lusa_1,cls_exp_temp0.3_nodelim_norole_nocot,"['são', 'brás', 'de', 'alportel']",são,Loc,São de Alportel,"Em comunicado, o Comando Territorial de Faro da GNR adianta que, na sequência de uma denúncia a informar sobre a existência de “uma festa com música ao vivo num estabelecimento de bebidas”, militares do Posto Territorial de São de Alportel deslocaram-se ao local para fiscalizar a ocorrência.",T49,Pl_civil,tp,Nao definido,0.8571428571428571,PARTIAL
qwen3_14b,participants,lusa_1,cls_exp_temp0.3_nodelim_norole_nocot,"['são', 'brás', 'de', 'alportel']",brás,Loc,São de Alportel,"Em comunicado, o Comando Territorial de Faro da GNR adianta que, na sequência de uma denúncia a informar sobre a existência de “uma festa com música ao vivo num estabelecimento de bebidas”, militares do Posto Territorial de São de Alportel deslocaram-se ao local para fiscalizar a ocorrência.",T49,Pl_civil,fp,Nao definido,0.8571428571428571,PARTIAL
