modelo,entity,doc_id,template,token,pred_type,annt_type,result,f1_r_score
gemini,participants,lusa_1,cls,GNR,Org,Org,tp,
gemini,participants,lusa_1,cls,estabelecimento de bebidas,Fac,Fac,tp,
gemini,participants,lusa_1,cls,militares,Per,Per,tp,
gemini,participants,lusa_1,cls,bar,Fac,Fac,tp,
gemini,participants,lusa_1,cls,comunicado,Obj,Obj,tp,
gemini,participants,lusa_1,cls,Corotelo,Loc,Pl_civil,tp,
gemini,participants,lusa_1,cls,concelho de São Brás de Alportel,Loc,Pl_civil,tp,
gemini,participants,lusa_1,cls,local,Loc,Loc,tp,
gemini,participants,lusa_1,cls,São Brás de Alportel,Loc,,fp,
gemini,participants,lusa_1,cls,pessoas,Per,,fp,
gemini,participants,lusa_1,cls,Comando Territorial de Faro da GNR,Org,,fp,
gemini,participants,lusa_1,cls,denúncia,N/A,,fp,
gemini,participants,lusa_1,cls,proprietário,Per,,fp,
gemini,participants,lusa_1,cls,pandemia de covid-19,N/A,,fp,
gemini,participants,lusa_1,cls,Covid-19,N/A,,fp,
gemini,participants,lusa_1,cls,auto de contraordenação,Obj,,fp,
gemini,participants,lusa_1,cls,ocorrência,N/A,,fp,
gemini,participants,lusa_1,cls,normas,Obj,,fp,
gemini,participants,lusa_1,cls,festa ilegal,N/A,,fp,
gemini,participants,lusa_1,cls,Posto Territorial de São de Alportel,Org,,fp,
gemini,participants,lusa_1,cls,música ao vivo,,Other,fn,
gemini,participants,lusa_1,cls,as pessoas,,Per,fn,
gemini,participants,lusa_1,cls,A GNR,,Org,fn,
gemini,participants,lusa_1,cls,o proprietário,,Per,fn,
gemini,participants,lusa_1,cls,cerca de 50 pessoas,,Per,fn,
gemini,participants,lusa_1,cls,nota,,Obj,fn,
gemini,participants,lusa_1,cls,normas referentes à pandemia de covid-19,,Other,fn,
gemini,participants,lusa_1,cls,o Posto Territorial de São de Alportel,,Org,fn,
gemini,participants,lusa_1,cls,o Posto Territorial,,Fac,fn,
gemini,participants,lusa_1,cls,São de Alportel,,Pl_civil,fn,
gemini,participants,lusa_1,cls,o Comando Territorial,,Org,fn,
gemini,participants,lusa_1,cls,Os militares,,Per,fn,
gemini,participants,lusa_1,cls,um auto de contraordenação,,Obj,fn,
gemini,participants,lusa_1,cls,Faro,,Pl_civil,fn,
gemini,participants,lusa_10,cls,AFP,Org,Org,tp,
gemini,participants,lusa_10,cls,agência France-Presse,Org,Org,tp,
gemini,participants,lusa_10,cls,várias pessoas,Per,Per,tp,
gemini,participants,lusa_10,cls,Manhattan,Loc,Pl_civil,tp,
gemini,participants,lusa_10,cls,Lisboa,Loc,Pl_capital,tp,
gemini,participants,lusa_10,cls,ambulâncias,Obj,Obj,tp,
gemini,participants,lusa_10,cls,Nova Iorque,Loc,Pl_civil,tp,
gemini,participants,lusa_10,cls,mortos,Per,Per,tp,
gemini,participants,lusa_10,cls,NYPD,Org,Org,tp,
gemini,participants,lusa_10,cls,polícia de Nova Iorque,Org,,fp,
gemini,participants,lusa_10,cls,corporações de bombeiros,Org,,fp,
gemini,participants,lusa_10,cls,autoridades,Org,,fp,
gemini,participants,lusa_10,cls,porta-voz da polícia,Per,,fp,
gemini,participants,lusa_10,cls,Black Lives Matter,Org,,fp,
gemini,participants,lusa_10,cls,automobilista,Per,,fp,
gemini,participants,lusa_10,cls,Estados Unidos,Loc,,fp,
gemini,participants,lusa_10,cls,Big Apple,Loc,,fp,
gemini,participants,lusa_10,cls,Automóvel,Obj,,fp,
gemini,participants,lusa_10,cls,condutor do automóvel,Per,,fp,
gemini,participants,lusa_10,cls,feridos,Per,,fp,
gemini,participants,lusa_10,cls,hospitais,Fac,,fp,
gemini,participants,lusa_10,cls,os Estados Unidos,,Pl_country,fn,
gemini,participants,lusa_10,cls,o local,,Pl_civil,fn,
gemini,participants,lusa_10,cls,o movimento “Black Lives Matter” (“As Vidas Negras Importam”),,Org,fn,
gemini,participants,lusa_10,cls,a polícia,,Org,fn,
gemini,participants,lusa_10,cls,O condutor do automóvel,,Per,fn,
gemini,participants,lusa_10,cls,alguns,,Per,fn,
gemini,participants,lusa_10,cls,vários hospitais,,Fac,fn,
gemini,participants,lusa_10,cls,a mesma fonte,,Org,fn,
gemini,participants,lusa_10,cls,a 'Big Apple',,Pl_civil,fn,
gemini,participants,lusa_10,cls,O porta-voz,,Per,fn,
gemini,participants,lusa_10,cls,a polícia de Nova Iorque,,Org,fn,
gemini,participants,lusa_10,cls,Um automobilista,,Per,fn,
gemini,participants,lusa_10,cls,os quais,,Per,fn,
gemini,participants,lusa_10,cls,vários feridos,,Per,fn,
gemini,participants,lusa_10,cls,Várias corporações de bombeiros,,Org,fn,
gemini,participants,lusa_10,cls,as autoridades,,Org,fn,
gemini,participants,lusa_11,cls,Lusa,Org,Org,tp,
gemini,participants,lusa_11,cls,Aveiro,Loc,Pl_civil,tp,
gemini,participants,lusa_11,cls,coliformes fecais,N/A,Nat,tp,
gemini,participants,lusa_11,cls,bivalves,Obj,Nat,tp,
gemini,participants,lusa_11,cls,distrito de Aveiro,Loc,Pl_civil,tp,
gemini,participants,lusa_11,cls,cais da Torreira,Fac,Fac,tp,
gemini,participants,lusa_11,cls,Bombeiros,Org,,fp,
gemini,participants,lusa_11,cls,condutor da viatura,Per,,fp,
gemini,participants,lusa_11,cls,mulher de 44 anos,Per,,fp,
gemini,participants,lusa_11,cls,GNR,Org,,fp,
gemini,participants,lusa_11,cls,Torreira,Loc,,fp,
gemini,participants,lusa_11,cls,viatura,Obj,,fp,
gemini,participants,lusa_11,cls,Murtosa,Loc,,fp,
gemini,participants,lusa_11,cls,fonte da GNR,Per,,fp,
gemini,participants,lusa_11,cls,mariscadores,Per,,fp,
gemini,participants,lusa_11,cls,Ã¡guas,N/A,,fp,
gemini,participants,lusa_11,cls,Hospital de Aveiro,Fac,,fp,
gemini,participants,lusa_11,cls,ria de Aveiro,Loc,,fp,
gemini,participants,lusa_11,cls,um homem,,Per,fn,
gemini,participants,lusa_11,cls,A GNR,,Org,fn,
gemini,participants,lusa_11,cls,Os pescadores,,Per,fn,
gemini,participants,lusa_11,cls,a mesma fonte,,Per,fn,
gemini,participants,lusa_11,cls,a GNR,,Org,fn,
gemini,participants,lusa_11,cls,a ria de Aveiro,,Loc,fn,
gemini,participants,lusa_11,cls,o Hospital de Aveiro,,Loc,fn,
gemini,participants,lusa_11,cls,a Murtosa,,Pl_civil,fn,
gemini,participants,lusa_11,cls,a mulher,,Per,fn,
gemini,participants,lusa_11,cls,o condutor,,Per,fn,
gemini,participants,lusa_11,cls,facto,,Other,fn,
gemini,participants,lusa_11,cls,que,,Per,fn,
gemini,participants,lusa_11,cls,ele,,Per,fn,
gemini,participants,lusa_11,cls,ria,,Pl_water,fn,
gemini,participants,lusa_11,cls,a viatura,,Obj,fn,
gemini,participants,lusa_11,cls,cais,,Fac,fn,
gemini,participants,lusa_11,cls,as águas,,Nat,fn,
gemini,participants,lusa_11,cls,dezenas de mariscadores,,Per,fn,
gemini,participants,lusa_11,cls,percentagens excessivas,,Other,fn,
gemini,participants,lusa_11,cls,Uma mulher de 44 anos,,Per,fn,
gemini,participants,lusa_11,cls,lá,,Loc,fn,
gemini,participants,lusa_11,cls,a Torreira,,Pl_civil,fn,
gemini,participants,lusa_11,cls,o senhor,,Per,fn,
gemini,participants,lusa_11,cls,fonte,,Per,fn,
gemini,participants,lusa_11,cls,Os mariscadores,,Per,fn,
gemini,participants,lusa_11,cls,os Bombeiros,,Org,fn,
gemini,participants,lusa_11,cls,uma senhora,,Per,fn,
gemini,participants,lusa_11,cls,o local,,Loc,fn,
gemini,participants,lusa_12,cls,Lusa,Org,Org,tp,
gemini,participants,lusa_12,cls,agentes,Per,Per,tp,
gemini,participants,lusa_12,cls,fonte,Per,Per,tp,
gemini,participants,lusa_12,cls,Juarce Martins,Per,Per,tp,
