[
  ["Homem", "Per"],
  ["48 anos", "Num"],
  ["Mogadouro", "Pl_capital"],
  ["Vilarinhos dos Galegos", "Pl_civil"],
  ["Concelho de Mogadouro", "Org"],
  ["distrito de Bragança", "Pl_civil"],
  ["Lusa", "Org"],
  ["dos bombeiros", "Org"],
  ["Trata-se", "Obj"],
  ["de um acidente", "Obj"],
  ["que envolve", "Obj"],
  ["uma queda", "Obj"],
  ["em altura", "Obj"],
  ["O homem", "Obj"],
  ["de 48 anos", "Num"],
  ["trabalhava", "Verb"],
  ["numa obra", "Fac"],
  ["de construção civil", "Fac"],
  ["A vítima", "Obj"],
  ["acabaria", "Verb"],
  ["por não resistir", "Obj"],
  ["aos ferimentos", "Obj"],
  ["acabando", "Verb"],
  ["por falecer", "Obj"],
  ["quando", "Conj"],
  ["estava a ser", "Verb"],
  ["transportada", "Verb"],
  ["pela ambulância", "Org"],
  ["para o campo", "Fac"],
  ["de futebol", "Fac"],
  ["onde", "Adv"],
  ["depois", "Adv"],
  ["seria", "Verb"],
  ["helitransportada", "Verb"],
  ["para", "Prep"],
  ["um hospital", "Fac"],
  ["de referência", "Fac"],
  ["O alerta", "Obj"],
  ["foi dado", "Verb"],
  ["cerca", "Adv"],
  ["das 17", "Num"],
  ["horas", "Num"],
  ["Nas operações", "Obj"],
  ["de socorro", "Obj"],
  ["estiveram envolvido", "Verb"],
  ["meios", "Num"],
  ["dos bombeiros", "Org"],
  ["a ambulância", "Org"],
  ["de Suporte", "Fac"],
  ["Immediato", "Num"],
  ["de Vida", "Fac"],
  ["SIV", "Org"],
  ["a Viatura", "Fac"],
  ["Medica", "Fac"],
  ["de Emergência", "Fac"],
  ["e Reanimação", "Fac"],
  ["do Instituto", "Fac"],
  ["Nacional", "Org"],
  ["e Emergência", "Org"],
  ["Médica", "Org"],
  ["INEM", "Org"],
  ["Foi ainda", "Verb"],
  ["acionado", "Verb"],
  ["o helicóptero", "Obj"],
  ["do INEM", "Fac"],
  ["estacionado", "Verb"],
  ["em Macedo", "Fac"],
  ["de Cavaleiros", "Fac"],
  ["A GNR", "Org"],
  ["de Mogadouro", "Org"],
  ["tomou", "Verb"],
  ["conta", "Verb"],
  ["da ocorrência", "Obj"]
]<|eot_id|>
