```json
[
  ["Um homem de 20 anos", "Person"],
  ["PSP", "Org"],
  ["bairro da Pasteleira Nova", "Pl_civil"],
  ["Porto", "Pl_civil"],
  ["droga", "Obj"],
  ["PSP", "Org"],
  ["heroína", "Obj"],
  ["cocaína", "Obj"],
  ["uma arma de fogo", "Obj"],
  ["aquela força policial", "Org"],
  ["comunicado", "Obj"],
  ["o Comando Metropolitano do Porto", "Org"],
  ["o Comando Metropolitano", "Org"],
  ["Porto", "Pl_civil"],
  ["PSP", "Org"],
  ["estupefacientes", "Obj"],
  ["a PSP", "Org"],
  ["desempregado", "Per"],
  ["heroína", "Obj"],
  ["cerca de 599 doses individuais", "Obj"],
  ["cocaína", "Obj"],
  ["cerca de 235 doses individuais", "Obj"],
  ["uma arma de fogo", "Obj"],
  ["quatro munições", "Obj"],
  ["um ‘tablet'", "Obj"],
  ["uma coluna de som", "Obj"],
  ["222 euros em dinheiro", "Obj"],
  ["aquela força policial", "Org"],
  ["efetivo", "Per"],
  ["Esquadra de Intervenção e Fiscalização Policial da 2.ª Divisão", "Org"],
  ["Equipas de Prevenção e Reação Imediata", "Per"],
  ["EPRI", "Per"],
  ["a PSP", "Org"],
  ["a PSP", "Org"],
  ["o detido", "Per"]
]
```<end_of_turn>
