[["Automóvel", "Object"],
["várias pessoas", "Person"],
["Black Lives Matter", "Organization"],
["Manhattan", "Location"],
["automobilista", "Person"],
["Nova Iorque", "Location"],
["Estados Unidos", "Location"],
["autoridades", "Organization"],
["feridos", "Person"],
["hospitais", "Facility"],
["Big Apple", "Location"],
["agência France-Presse", "Organization"],
["AFP", "Organization"],
["polícia de Nova Iorque", "Organization"],
["NYPD", "Organization"],
["condutor do automóvel", "Person"],
["porta-voz da polícia", "Person"],
["Lisboa", "Location"],
["mortos", "Person"],
["corporações de bombeiros", "Organization"],
["ambulâncias", "Object"]]
