[
  ["Mulher", "Person"],
  ["44 anos", "Per"],
  ["atropelada", "Obj"],
  ["durante protesto", "Obj"],
  ["mariscadores", "Org"],
  ["Murtosa", "Pl_civil"],
  ["distrito de Aveiro", "Pl_civil"],
  ["12:50", "Obj"],
  ["cais da Torreira", "Pl_civil"],
  ["fonte da GNR", "Obj"],
  ["condutor da viatura", "Per"],
  ["estaria a tentar sair do local", "Obj"],
  ["Os pescadores", "Other"],
  ["A mulher sofreu ferimentos ligeiros", "Obj"],
  ["ha sido transportada para o Hospital de Aveiro", "Obj"],
  ["A GNR referiu ainda que o condutor se colocou em fuga", "Obj"],
  ["A GNR referiu ainda que o condutor já foi identificado.", "Obj"],
  ["Os mariscadores da Torreira estão em protesto há mais de uma semana", "Other"],
  ["devido ao facto de terem sido detetadas percentagens excessivas de coliformes fecais nas águas da ria de Aveiro", "Obj"]
]
