["Man", "Person"]
["National Republican Guard", "Organization"]
["Óbidos Territorial Post", "Organization"]
["Caldas da Rainha Environmental Protection Center", "Organization"]
["Caldas da Rainha Court", "Organization"]
["Houses", "Location"]
["Land", "Location"]
["GNR", "Organization"]
["Óbidos", "Location"]
["Wednesday", "Location"]
["GNR statement", "Object"]
["Caldas da Rainha Court report", "Object"]
["Hunting rifle", "Object"]
["12-gauge cartridges", "Object"]
["Materials and accessories", "Object"]<|eot_id|>
