[
  ["corpo", "Obj"],
  ["homem", "Per"],
  ["zona", "Pl_capital"],
  ["rochosa", "Pl_capital"],
  ["costa", "Pl_capital"],
  ["na costa", "Pl_capital"],
  ["Terceira", "Pl_capital"],
  ["Açores", "Pl_country"],
  [" Autoridade Marítima", "Org"],
  ["Comando-Local da Polícia Marítima", "Org"],
  ["Polícia Marítima de Angra do Heroísmo", "Org"],
  ["PSP", "Org"],
  ["Polícia de Segurança Pública", "Org"],
  ["Bombeiros Voluntários da Praia da Vitória", "Org"],
  ["Hospital de Angra do Heroísmo", "Fac"],
  ["equipa de grande ângulo", "Org"],
  ["Bombeiros", "Org"],
  ["delegado de saúde", "Org"],
  ["local", "Loc"],
  ["Lisboa", "Pl_capital"],
  ["segunda-feira", "Pl_civil"],
  ["12:00", "Pl_civil"],
  ["13:00", "Pl_civil"],
  ["comunicado", "Doc"],
  ["redações", "Org"],
  ["piquete", "Org"],
  ["Aeroporto Humberto Delgado", "Fac"],
  ["domínio público marítimo", "Loc"],
  ["anteriormente", "Adv"],
  [" posteriormente", "Adv"],
  [" Vitória", "Loc"],
  ["ângulo", "Loc"],
  ["Angra do Heroísmo", "Pl_capital"],
  ["morte", "Nature"]
]<|eot_id|>
