model,language,entity,template,variation,doc_id,sentence_id,stage,item,label,confidence
qwen3_14b,portuguese,participants,sent_def_exp,temp0.3_nodelim_norole_nocot,lusa_1,1,detection,,yes,0.95
qwen3_14b,portuguese,participants,ext_def_exp,temp0.3_nodelim_norole_nocot,lusa_1,1,extraction,A GNR,,
qwen3_14b,portuguese,participants,ext_def_exp,temp0.3_nodelim_norole_nocot,lusa_1,1,extraction,uma festa ilegal,,
qwen3_14b,portuguese,participants,ext_def_exp,temp0.3_nodelim_norole_nocot,lusa_1,1,extraction,um bar,,
qwen3_14b,portuguese,participants,ext_def_exp,temp0.3_nodelim_norole_nocot,lusa_1,1,extraction,Corotelo,,
qwen3_14b,portuguese,participants,ext_def_exp,temp0.3_nodelim_norole_nocot,lusa_1,1,extraction,São Brás de Alportel,,
qwen3_14b,portuguese,participants,ext_def_exp,temp0.3_nodelim_norole_nocot,lusa_1,1,extraction,50 pessoas,,
qwen3_14b,portuguese,participants,ext_def_exp,temp0.3_nodelim_norole_nocot,lusa_1,1,extraction,o concelho de São Brás de Alportel,,
qwen3_14b,portuguese,participants,ext_def_exp,temp0.3_nodelim_norole_nocot,lusa_1,1,extraction,num bar,,
qwen3_14b,portuguese,participants,ext_def_exp,temp0.3_nodelim_norole_nocot,lusa_1,1,extraction,Corotelo,,
qwen3_14b,portuguese,participants,ext_def_exp,temp0.3_nodelim_norole_nocot,lusa_1,1,extraction,São Brás de Alportel,,
qwen3_14b,portuguese,participants,ext_def_exp,temp0.3_nodelim_norole_nocot,lusa_1,1,extraction,50 pessoas,,
qwen3_14b,portuguese,participants,ext_def_exp,temp0.3_nodelim_norole_nocot,lusa_1,1,extraction,o concelho de São Brás de Alportel,,
qwen3_14b,portuguese,participants,ext_def_exp,temp0.3_nodelim_norole_nocot,lusa_1,1,extraction,num bar,,
qwen3_14b,portuguese,participants,ext_def_exp,temp0.3_nodelim_norole_nocot,lusa_1,1,extraction,Corotelo,,
qwen3_14b,portuguese,participants,ext_def_exp,temp0.3_nodelim_norole_nocot,lusa_1,1,extraction,São Brás de Alportel,,
qwen3_14b,portuguese,participants,ext_def_exp,temp0.3_nodelim_norole_nocot,lusa_1,1,extraction,50 pessoas,,
qwen3_14b,portuguese,participants,ext_def_exp,temp0.3_nodelim_norole_nocot,lusa_1,1,extraction,o concelho de São Brás de Alportel,,
qwen3_14b,portuguese,participants,ext_def_exp,temp0.3_nodelim_norole_nocot,lusa_1,1,extraction,num bar,,
qwen3_14b,portuguese,participants,ext_def_exp,temp0.3_nodelim_norole_nocot,lusa_1,1,extraction,Corotelo,,
qwen3_14b,portuguese,participants,ext_def_exp,temp0.3_nodelim_norole_nocot,lusa_1,1,extraction,São Brás de Alportel,,
qwen3_14b,portuguese,participants,ext_def_exp,temp0.3_nodelim_norole_nocot,lusa_1,1,extraction,50 pessoas,,
qwen3_14b,portuguese,participants,ext_def_exp,temp0.3_nodelim_norole_nocot,lusa_1,1,extraction,o concelho de São Brás de Alportel,,
qwen3_14b,portuguese,participants,ext_def_exp,temp0.3_nodelim_norole_nocot,lusa_1,1,extraction,num bar,,
qwen3_14b,portuguese,participants,ext_def_exp,temp0.3_nodelim_norole_nocot,lusa_1,1,extraction,Corotelo,,
qwen3_14b,portuguese,participants,ext_def_exp,temp0.3_nodelim_norole_nocot,lusa_1,1,extraction,São Brás de Alportel,,
qwen3_14b,portuguese,participants,ext_def_exp,temp0.3_nodelim_norole_nocot,lusa_1,1,extraction,50 pessoas,,
qwen3_14b,portuguese,participants,ext_def_exp,temp0.3_nodelim_norole_nocot,lusa_1,1,extraction,o concelho de São Brás de Alportel,,
qwen3_14b,portuguese,participants,ext_def_exp,temp0.3_nodelim_norole_nocot,lusa_1,1,extraction,num bar,,
qwen3_14b,portuguese,participants,ext_def_exp,temp0.3_nodelim_norole_nocot,lusa_1,1,extraction,Corotelo,,
qwen3_14b,portuguese,participants,ext_def_exp,temp0.3_nodelim_norole_nocot,lusa_1,1,extraction,São Brás de Alportel,,
qwen3_14b,portuguese,participants,ext_def_exp,temp0.3_nodelim_norole_nocot,lusa_1,1,extraction,50 pessoas,,
qwen3_14b,portuguese,participants,ext_def_exp,temp0.3_nodelim_norole_nocot,lusa_1,1,extraction,o concelho de São Brás de Alportel,,
qwen3_14b,portuguese,participants,ext_def_exp,temp0.3_nodelim_norole_nocot,lusa_1,1,extraction,num bar,,
qwen3_14b,portuguese,participants,ext_def_exp,temp0.3_nodelim_norole_nocot,lusa_1,1,extraction,Corotelo,,
qwen3_14b,portuguese,participants,ext_def_exp,temp0.3_nodelim_norole_nocot,lusa_1,1,extraction,São Brás de Alportel,,
qwen3_14b,portuguese,participants,ext_def_exp,temp0.3_nodelim_norole_nocot,lusa_1,1,extraction,50 pessoas,,
qwen3_14b,portuguese,participants,ext_def_exp,temp0.3_nodelim_norole_nocot,lusa_1,1,extraction,o concelho de São Brás de Alportel,,
