doc_id,n_sentences,n_detected,n_not_detected,n_detection_unparseable,n_extracted_spans,n_classified_spans,n_unlisted_spans,n_parse_failures
lusa_1,5,5,0,0,15,16,0,0
lusa_101,6,6,0,0,26,26,0,0
lusa_102,5,5,0,0,17,19,0,0
lusa_103,6,5,1,0,19,19,0,0
lusa_105,6,5,1,0,19,19,0,0
lusa_106,8,7,1,0,28,29,0,0
lusa_107,4,4,0,0,12,12,0,0
lusa_108,6,6,0,0,25,26,0,0
lusa_109,7,7,0,0,29,29,0,0
lusa_110,7,7,0,0,33,37,0,0
lusa_111,7,6,1,0,24,24,0,0
lusa_113,7,7,0,0,25,27,0,0
lusa_114,6,6,0,0,18,18,0,0
lusa_115,7,6,1,0,19,21,0,0
lusa_116,10,7,3,0,25,26,0,0
lusa_12,8,7,1,0,26,26,0,0
lusa_13,8,6,2,0,24,26,0,0
lusa_14,8,6,2,0,19,20,0,0
lusa_15,6,6,0,0,20,22,0,0
lusa_16,5,5,0,0,18,19,0,0
lusa_17,9,7,2,0,24,24,0,0
lusa_18,7,5,2,0,20,20,0,0
lusa_19,6,6,0,0,26,26,0,0
lusa_2,7,6,1,0,20,24,0,0
lusa_21,6,5,1,0,19,21,0,0
lusa_22,7,7,0,0,25,28,0,0
lusa_23,8,6,2,0,29,30,0,0
lusa_24,5,5,0,0,24,24,0,0
lusa_25,7,6,1,0,19,20,0,0
lusa_26,6,6,0,0,20,22,0,0
lusa_27,6,5,1,0,27,28,0,0
lusa_28,9,7,2,0,24,24,0,0
lusa_29,6,4,2,0,20,20,0,0
lusa_3,8,7,1,0,23,23,0,0
lusa_31,4,4,0,0,13,14,0,0
lusa_32,5,3,2,0,17,17,0,0
lusa_33,7,5,2,0,21,21,0,0
lusa_35,7,7,0,0,23,24,0,0
lusa_36,7,4,3,0,12,14,0,0
lusa_37,6,5,1,0,20,22,0,0
lusa_39,6,6,0,0,25,27,0,0
lusa_40,6,6,0,0,22,23,0,0
lusa_41,5,5,0,0,18,19,0,0
lusa_42,6,6,0,0,19,20,0,1
lusa_43,6,6,0,0,15,15,0,0
lusa_44,5,4,1,0,17,18,0,0
lusa_45,5,3,2,0,14,14,0,0
lusa_46,6,6,0,0,19,22,0,0
lusa_48,5,3,2,0,14,14,0,0
lusa_49,4,4,0,0,22,22,0,0
lusa_5,5,4,1,0,14,14,0,0
lusa_50,5,4,1,0,19,19,0,0
lusa_51,8,6,2,0,28,28,0,0
lusa_52,6,5,1,0,22,22,0,0
lusa_53,7,6,1,0,12,14,0,0
lusa_54,8,5,3,0,22,23,0,0
lusa_55,6,6,0,0,28,30,0,0
lusa_56,10,10,0,0,24,27,0,0
lusa_57,7,7,0,0,25,26,0,0
lusa_58,6,5,1,0,21,22,0,0
lusa_59,6,6,0,0,20,22,0,0
lusa_6,8,6,2,0,28,29,0,0
lusa_61,7,7,0,0,29,33,0,0
lusa_62,8,7,1,0,29,30,0,0
lusa_63,4,3,1,0,15,16,0,0
lusa_64,6,6,0,0,24,25,0,0
lusa_65,5,5,0,0,20,20,0,0
lusa_66,6,5,1,0,16,18,0,0
lusa_68,5,4,1,0,14,15,0,0
lusa_69,6,5,1,0,17,17,0,0
lusa_7,7,7,0,0,27,28,0,0
lusa_70,7,6,1,0,30,30,0,0
lusa_71,7,7,0,0,31,31,0,0
lusa_72,7,5,2,0,24,25,0,0
lusa_73,6,6,0,0,24,25,0,0
lusa_74,6,5,1,0,16,18,0,0
lusa_75,6,6,0,0,24,26,0,0
lusa_76,9,9,0,0,36,38,0,0
lusa_78,5,5,0,0,25,25,0,0
lusa_8,5,5,0,0,28,28,0,0
lusa_81,6,4,2,0,14,16,0,0
lusa_82,5,5,0,0,21,23,0,0
lusa_84,7,5,2,0,14,14,0,0
lusa_85,6,5,1,0,29,31,0,0
lusa_87,5,3,2,0,10,10,0,0
lusa_88,8,7,1,0,26,26,0,0
lusa_89,8,7,1,0,23,24,0,0
lusa_9,6,6,0,0,20,21,0,0
lusa_90,7,7,0,0,20,22,0,0
lusa_91,5,5,0,0,19,19,0,0
lusa_92,7,6,1,0,17,17,0,0
lusa_93,6,6,0,0,19,20,0,0
lusa_94,6,5,1,0,25,27,0,0
lusa_95,5,5,0,0,24,25,0,0
lusa_98,8,8,0,0,26,28,0,0
lusa_99,5,4,1,0,12,13,0,0
