modelo,entity,doc_id,template,token,pred_type,annt_type,result,f1_r_score
qwen3_14b,participants,lusa_1,ext_exp_temp0.3_nodelim_norole_nocot,an administrative offense notice,,Obj,tp,
qwen3_14b,participants,lusa_1,ext_exp_temp0.3_nodelim_norole_nocot,soldiers,,Per,tp,
qwen3_14b,participants,lusa_1,ext_exp_temp0.3_nodelim_norole_nocot,people,,Per,tp,
qwen3_14b,participants,lusa_1,ext_exp_temp0.3_nodelim_norole_nocot,the owner,,Per,tp,
qwen3_14b,participants,lusa_1,ext_exp_temp0.3_nodelim_norole_nocot,GNR,,Org,tp,
qwen3_14b,participants,lusa_1,ext_exp_temp0.3_nodelim_norole_nocot,Corotelo,,Pl_civil,tp,
qwen3_14b,participants,lusa_1,ext_exp_temp0.3_nodelim_norole_nocot,The military,,Per,tp,
qwen3_14b,participants,lusa_1,ext_exp_temp0.3_nodelim_norole_nocot,São de Alportel Territorial Post,,,fp,
qwen3_14b,participants,lusa_1,ext_exp_temp0.3_nodelim_norole_nocot,the municipality of São Brás de Alportel,,,fp,
qwen3_14b,participants,lusa_1,ext_exp_temp0.3_nodelim_norole_nocot,a bar,,,fp,
qwen3_14b,participants,lusa_1,ext_exp_temp0.3_nodelim_norole_nocot,50 people,,,fp,
qwen3_14b,participants,lusa_1,ext_exp_temp0.3_nodelim_norole_nocot,illegal party,,,fp,
qwen3_14b,participants,lusa_1,ext_exp_temp0.3_nodelim_norole_nocot,the location,,,fp,
qwen3_14b,participants,lusa_1,ext_exp_temp0.3_nodelim_norole_nocot,Faro Territorial Command of the GNR,,,fp,
qwen3_14b,participants,lusa_1,ext_exp_temp0.3_nodelim_norole_nocot,São Brás de Alportel,,,fp,
qwen3_14b,participants,lusa_1,ext_exp_temp0.3_nodelim_norole_nocot,note,,Obj,fn,
qwen3_14b,participants,lusa_1,ext_exp_temp0.3_nodelim_norole_nocot,drinking establishment,,Fac,fn,
qwen3_14b,participants,lusa_1,ext_exp_temp0.3_nodelim_norole_nocot,bar,,Fac,fn,
qwen3_14b,participants,lusa_1,ext_exp_temp0.3_nodelim_norole_nocot,Faro,,Pl_civil,fn,
qwen3_14b,participants,lusa_1,ext_exp_temp0.3_nodelim_norole_nocot,statement,,Obj,fn,
qwen3_14b,participants,lusa_1,ext_exp_temp0.3_nodelim_norole_nocot,around 50 people,,Per,fn,
qwen3_14b,participants,lusa_1,ext_exp_temp0.3_nodelim_norole_nocot,Territorial Post,,Fac,fn,
qwen3_14b,participants,lusa_1,ext_exp_temp0.3_nodelim_norole_nocot,Alportel Territorial Post went to the location,,Org,fn,
qwen3_14b,participants,lusa_1,ext_exp_temp0.3_nodelim_norole_nocot,the Faro Territorial Command,,Org,fn,
qwen3_14b,participants,lusa_1,ext_exp_temp0.3_nodelim_norole_nocot,municipality of São Brás de Alportel,,Pl_civil,fn,
qwen3_14b,participants,lusa_1,ext_exp_temp0.3_nodelim_norole_nocot,location,,Loc,fn,
qwen3_14b,participants,lusa_1,ext_exp_temp0.3_nodelim_norole_nocot,São de Alportel,,Pl_civil,fn,
qwen3_14b,participants,lusa_1,ext_exp_temp0.3_nodelim_norole_nocot,live music,,Other,fn,
qwen3_14b,participants,lusa_1,ext_exp_temp0.3_nodelim_norole_nocot,the GNR,,Org,fn,
qwen3_14b,participants,lusa_1,ext_exp_temp0.3_nodelim_norole_nocot,compliance with the rules relating to the covid-19 pandemic,,Other,fn,
qwen3_14b,participants,lusa_101,ext_exp_temp0.3_nodelim_norole_nocot,The collective,,Per,tp,
qwen3_14b,participants,lusa_101,ext_exp_temp0.3_nodelim_norole_nocot,a 36-year-old man,,Per,tp,
qwen3_14b,participants,lusa_101,ext_exp_temp0.3_nodelim_norole_nocot,the man,,Per,tp,
qwen3_14b,participants,lusa_101,ext_exp_temp0.3_nodelim_norole_nocot,the defendant,,Per,tp,
qwen3_14b,participants,lusa_101,ext_exp_temp0.3_nodelim_norole_nocot,Viana do Castelo court,,Org,tp,
qwen3_14b,participants,lusa_101,ext_exp_temp0.3_nodelim_norole_nocot,The Viana do Castelo Court,,Org,tp,
qwen3_14b,participants,lusa_101,ext_exp_temp0.3_nodelim_norole_nocot,The man,,Per,tp,
qwen3_14b,participants,lusa_101,ext_exp_temp0.3_nodelim_norole_nocot,The judge,,,fp,
qwen3_14b,participants,lusa_101,ext_exp_temp0.3_nodelim_norole_nocot,the documentary and testimonial evidence,,,fp,
qwen3_14b,participants,lusa_101,ext_exp_temp0.3_nodelim_norole_nocot,the fatal victim,,,fp,
qwen3_14b,participants,lusa_101,ext_exp_temp0.3_nodelim_norole_nocot,the courtroom,,,fp,
qwen3_14b,participants,lusa_101,ext_exp_temp0.3_nodelim_norole_nocot,possession of a prohibited weapon,,,fp,
qwen3_14b,participants,lusa_101,ext_exp_temp0.3_nodelim_norole_nocot,the case,,,fp,
qwen3_14b,participants,lusa_101,ext_exp_temp0.3_nodelim_norole_nocot,prison,,,fp,
qwen3_14b,participants,lusa_101,ext_exp_temp0.3_nodelim_norole_nocot,the crimes,,,fp,
qwen3_14b,participants,lusa_101,ext_exp_temp0.3_nodelim_norole_nocot,harm to qualified physical integrity,,,fp,
qwen3_14b,participants,lusa_101,ext_exp_temp0.3_nodelim_norole_nocot,the panel,,,fp,
qwen3_14b,participants,lusa_101,ext_exp_temp0.3_nodelim_norole_nocot,the city,,,fp,
qwen3_14b,participants,lusa_101,ext_exp_temp0.3_nodelim_norole_nocot,the presiding judge of the panel,,,fp,
qwen3_14b,participants,lusa_101,ext_exp_temp0.3_nodelim_norole_nocot,those two crimes,,,fp,
qwen3_14b,participants,lusa_101,ext_exp_temp0.3_nodelim_norole_nocot,pre-trial detention,,,fp,
qwen3_14b,participants,lusa_101,ext_exp_temp0.3_nodelim_norole_nocot,another man,,,fp,
qwen3_14b,participants,lusa_101,ext_exp_temp0.3_nodelim_norole_nocot,the reading of the ruling,,,fp,
qwen3_14b,participants,lusa_101,ext_exp_temp0.3_nodelim_norole_nocot,the ruling,,,fp,
qwen3_14b,participants,lusa_101,ext_exp_temp0.3_nodelim_norole_nocot,the mother of the fatal victim,,,fp,
qwen3_14b,participants,lusa_101,ext_exp_temp0.3_nodelim_norole_nocot,man who shot another man,,,fp,
qwen3_14b,participants,lusa_101,ext_exp_temp0.3_nodelim_norole_nocot,the presiding judge,,Per,fn,
qwen3_14b,participants,lusa_101,ext_exp_temp0.3_nodelim_norole_nocot,in the total amount,,Other,fn,
qwen3_14b,participants,lusa_101,ext_exp_temp0.3_nodelim_norole_nocot,in the city,,Loc,fn,
qwen3_14b,participants,lusa_101,ext_exp_temp0.3_nodelim_norole_nocot,of the ruling,,Obj,fn,
qwen3_14b,participants,lusa_101,ext_exp_temp0.3_nodelim_norole_nocot,of 141 thousand euros,,Obj,fn,
qwen3_14b,participants,lusa_101,ext_exp_temp0.3_nodelim_norole_nocot,in the courtroom,,Loc,fn,
qwen3_14b,participants,lusa_101,ext_exp_temp0.3_nodelim_norole_nocot,the murder weapon,,Obj,fn,
qwen3_14b,participants,lusa_101,ext_exp_temp0.3_nodelim_norole_nocot,documentary and testimonial evidence,,Other,fn,
qwen3_14b,participants,lusa_101,ext_exp_temp0.3_nodelim_norole_nocot,The ,,Per,fn,
qwen3_14b,participants,lusa_101,ext_exp_temp0.3_nodelim_norole_nocot,who,,Per,fn,
qwen3_14b,participants,lusa_101,ext_exp_temp0.3_nodelim_norole_nocot,another,,Per,fn,
qwen3_14b,participants,lusa_101,ext_exp_temp0.3_nodelim_norole_nocot,that,,Per,fn,
qwen3_14b,participants,lusa_101,ext_exp_temp0.3_nodelim_norole_nocot,presiding judge of the,,Per,fn,
qwen3_14b,participants,lusa_101,ext_exp_temp0.3_nodelim_norole_nocot,man,,Per,fn,
qwen3_14b,participants,lusa_101,ext_exp_temp0.3_nodelim_norole_nocot,of the fatal victim,,Per,fn,
qwen3_14b,participants,lusa_101,ext_exp_temp0.3_nodelim_norole_nocot,the mother,,Per,fn,
qwen3_14b,participants,lusa_102,ext_exp_temp0.3_nodelim_norole_nocot,the man,,Per,tp,
qwen3_14b,participants,lusa_102,ext_exp_temp0.3_nodelim_norole_nocot,another individual,,Per,tp,
qwen3_14b,participants,lusa_102,ext_exp_temp0.3_nodelim_norole_nocot,The 68-year-old citizen,,Per,tp,
qwen3_14b,participants,lusa_102,ext_exp_temp0.3_nodelim_norole_nocot,Cais das Colunas,,Loc,tp,
qwen3_14b,participants,lusa_102,ext_exp_temp0.3_nodelim_norole_nocot,A 68-year-old man,,Per,tp,
qwen3_14b,participants,lusa_102,ext_exp_temp0.3_nodelim_norole_nocot,another passerby,,Per,tp,
qwen3_14b,participants,lusa_102,ext_exp_temp0.3_nodelim_norole_nocot,an ambulance,,Obj,tp,
qwen3_14b,participants,lusa_102,ext_exp_temp0.3_nodelim_norole_nocot,Man,,Per,tp,
qwen3_14b,participants,lusa_102,ext_exp_temp0.3_nodelim_norole_nocot,Tagus River,,Loc,tp,
qwen3_14b,participants,lusa_102,ext_exp_temp0.3_nodelim_norole_nocot,São José Hospital,,,fp,
qwen3_14b,participants,lusa_102,ext_exp_temp0.3_nodelim_norole_nocot,An official source,,,fp,
qwen3_14b,participants,lusa_102,ext_exp_temp0.3_nodelim_norole_nocot,the man in difficulties,,,fp,
qwen3_14b,participants,lusa_102,ext_exp_temp0.3_nodelim_norole_nocot,cardiorespiratory resuscitation,,,fp,
qwen3_14b,participants,lusa_102,ext_exp_temp0.3_nodelim_norole_nocot,Maritime Police,,,fp,
