modelo,entity,doc_id,template,complete_prediction,token,pred_type,matched_annotation,full_matched_sentence,ann_entity_id,annt_type,result,word_category,pct_tp_participant_level,result_type
qwen3_14b,participants,lusa_1,cls_exp_temp0.3_nodelim_norole_nocot,"['faro', 'territorial', 'command', 'of', 'the', 'gnr']",the,Org,the Faro Territorial Command,"Editorial, October 11, 2020",59,Org,fn,Articles,0.6,PARTIAL
qwen3_14b,participants,lusa_1,cls_exp_temp0.3_nodelim_norole_nocot,"['faro', 'territorial', 'command', 'of', 'the', 'gnr']",faro,Org,the Faro Territorial Command,"Editorial, October 11, 2020",59,Org,tp,Nao definido,0.6,PARTIAL
qwen3_14b,participants,lusa_1,cls_exp_temp0.3_nodelim_norole_nocot,"['faro', 'territorial', 'command', 'of', 'the', 'gnr']",territorial,Org,the Faro Territorial Command,"Editorial, October 11, 2020",59,Org,tp,Nao definido,0.6,PARTIAL
qwen3_14b,participants,lusa_1,cls_exp_temp0.3_nodelim_norole_nocot,"['faro', 'territorial', 'command', 'of', 'the', 'gnr']",command,Org,the Faro Territorial Command,"Editorial, October 11, 2020",59,Org,tp,Nao definido,0.6,PARTIAL
qwen3_14b,participants,lusa_1,cls_exp_temp0.3_nodelim_norole_nocot,"['faro', 'territorial', 'command', 'of', 'the', 'gnr']",of,Org,the Faro Territorial Command,"Editorial, October 11, 2020",59,Org,fp,Prepositions & Connectives,0.6,PARTIAL
qwen3_14b,participants,lusa_1,cls_exp_temp0.3_nodelim_norole_nocot,"['faro', 'territorial', 'command', 'of', 'the', 'gnr']",gnr,Org,the Faro Territorial Command,"Editorial, October 11, 2020",59,Org,fp,Nao definido,0.6,PARTIAL
qwen3_14b,participants,lusa_1,cls_exp_temp0.3_nodelim_norole_nocot,['gnr'],gnr,Org,GNR,Covid-19: GNR ended illegal party with 50 people in São Brás de Alportel,48,Org,tp,Nao definido,1.0,EXACT
qwen3_14b,participants,lusa_1,cls_exp_temp0.3_nodelim_norole_nocot,['people'],people,Per,people,Covid-19: GNR ended illegal party with 50 people in São Brás de Alportel,54,Per,tp,Generic Actors,1.0,EXACT
qwen3_14b,participants,lusa_1,cls_exp_temp0.3_nodelim_norole_nocot,"['são', 'brás', 'de', 'alportel']",são,Loc,São de Alportel,"In a statement, the Faro Territorial Command of the GNR said that, following a complaint reporting the existence of “a party with live music in a drinking establishment”, soldiers from the São de Alportel Territorial Post went to the location to monitor the incident.",67,Pl_civil,tp,Nao definido,0.8571428571428571,PARTIAL
qwen3_14b,participants,lusa_1,cls_exp_temp0.3_nodelim_norole_nocot,"['são', 'brás', 'de', 'alportel']",brás,Loc,São de Alportel,"In a statement, the Faro Territorial Command of the GNR said that, following a complaint reporting the existence of “a party with live music in a drinking establishment”, soldiers from the São de Alportel Territorial Post went to the location to monitor the incident.",67,Pl_civil,fp,Nao definido,0.8571428571428571,PARTIAL
qwen3_14b,participants,lusa_1,cls_exp_temp0.3_nodelim_norole_nocot,"['são', 'brás', 'de', 'alportel']",de,Loc,São de Alportel,"In a statement, the Faro Territorial Command of the GNR said that, following a complaint reporting the existence of “a party with live music in a drinking establishment”, soldiers from the São de Alportel Territorial Post went to the location to monitor the incident.",67,Pl_civil,tp,Nao definido,0.8571428571428571,PARTIAL
qwen3_14b,participants,lusa_1,cls_exp_temp0.3_nodelim_norole_nocot,"['são', 'brás', 'de', 'alportel']",alportel,Loc,São de Alportel,"In a statement, the Faro Territorial Command of the GNR said that, following a complaint reporting the existence of “a party with live music in a drinking establishment”, soldiers from the São de Alportel Territorial Post went to the location to monitor the incident.",67,Pl_civil,tp,Nao definido,0.8571428571428571,PARTIAL
qwen3_14b,participants,lusa_1,cls_exp_temp0.3_nodelim_norole_nocot,"['the', 'owner']",the,Per,the owner,The note also states that the owner was identified and “an administrative offense notice” was drawn up.,105,Per,tp,Articles,1.0,EXACT
qwen3_14b,participants,lusa_1,cls_exp_temp0.3_nodelim_norole_nocot,"['the', 'owner']",owner,Per,the owner,The note also states that the owner was identified and “an administrative offense notice” was drawn up.,105,Per,tp,Nao definido,1.0,EXACT
qwen3_14b,participants,lusa_1,cls_exp_temp0.3_nodelim_norole_nocot,"['são', 'de', 'alportel', 'territorial', 'post']",são,Fac,Territorial Post,"Editorial, October 11, 2020",131,Fac,fp,Nao definido,0.5714285714285714,PARTIAL
qwen3_14b,participants,lusa_1,cls_exp_temp0.3_nodelim_norole_nocot,"['são', 'de', 'alportel', 'territorial', 'post']",de,Fac,Territorial Post,"Editorial, October 11, 2020",131,Fac,fp,Nao definido,0.5714285714285714,PARTIAL
qwen3_14b,participants,lusa_1,cls_exp_temp0.3_nodelim_norole_nocot,"['são', 'de', 'alportel', 'territorial', 'post']",alportel,Fac,Territorial Post,"Editorial, October 11, 2020",131,Fac,fp,Nao definido,0.5714285714285714,PARTIAL
