<Output>
[
["Homem", "Per"],
["ciclomotor", "Obj"],
["veículo ligeiro", "Obj"],
["Setúbal", "Pl_capital"],
["Estrada Nacional 10-8", "Fac"],
["zona da Mitrena", "Fac"],
["PSP", "Org"],
["Proteção Civil", "Org"],
["Comando Distrital de Operações de Socorro (CDOS)", "Org"],
["Lusa", "Org"],
["óbito", "Obj"],
["corpo", "Obj"],
["serviço de Medicina legal", "Fac"],
["Hospital de São Bernardo", "Fac"],
["alerta", "Obj"],
["bombeiros", "Org"],
["corporações de Palmela", "Org"],
["Sapadores de Setúbal", "Org"],
["viatura médica de emergência e reanimação (VMER)", "Obj"],
["PSP", "Org"],
["elementos", "Obj"],
["veículos", "Obj"],
["Setúbal", "Pl_capital"],
["PSP", "Org"],
["Proteção Civil", "Org"],
["Comando Distrital de Operações de Socorro (CDOS)", "Org"],
["Lusa", "Org"],
["Setúbal", "Pl_capital"]
]
</Output>
