modelo,entity,doc_id,template,token,pred_type,annt_type,result,f1_r_score
amalia,participants,lusa_100,cls,uma arma branca,,Obj,fn,
amalia,participants,lusa_100,cls,A polícia,,Org,fn,
amalia,participants,lusa_100,cls,as forças policiais,,Org,fn,
amalia,participants,lusa_100,cls,Arroios,,Pl_civil,fn,
amalia,participants,lusa_100,cls,na Avenida Almirante Reis,,Loc,fn,
amalia,participants,lusa_100,cls,o mercado,,Fac,fn,
amalia,participants,lusa_100,cls,Lisboa,,Pl_capital,fn,
amalia,participants,lusa_100,cls,da polícia,,Org,fn,
amalia,participants,lusa_100,cls,fitas de segurança,,Obj,fn,
amalia,participants,lusa_100,cls,um,,Per,fn,
amalia,participants,lusa_100,cls,em Lisboa,,Loc,fn,
amalia,participants,lusa_100,cls,a PSP,,Org,fn,
amalia,participants,lusa_100,cls,na zona das costas,,Other,fn,
amalia,participants,lusa_100,cls,Homem,,Per,fn,
amalia,participants,lusa_100,cls,o suspeito do crime,,Per,fn,
amalia,participants,lusa_100,cls,nas costas,,Other,fn,
amalia,participants,lusa_100,cls,Um homem de 29 anos,,Per,fn,
amalia,participants,lusa_100,cls,mais dados,,Other,fn,
amalia,participants,lusa_100,cls,na rua Ângela Pinto,,Loc,fn,
amalia,participants,lusa_100,cls,dois indivíduos,,Per,fn,
amalia,participants,lusa_100,cls,um café,,Loc,fn,
amalia,participants,lusa_100,cls,onde,,Loc,fn,
amalia,participants,lusa_100,cls,o Comando Metropolitano de Lisboa (Cometlis),,Org,fn,
amalia,participants,lusa_100,cls,o local do crime,,Loc,fn,
amalia,participants,lusa_100,cls,a vítima,,Per,fn,
amalia,participants,lusa_100,cls,fonte,,Per,fn,
amalia,participants,lusa_100,cls,à agência Lusa,,Org,fn,
amalia,participants,lusa_100,cls,deles,,Per,fn,
amalia,participants,lusa_100,cls,dentro,,Loc,fn,
amalia,participants,lusa_100,cls,a Polícia Judiciária (PJ),,Org,fn,
amalia,participants,lusa_100,cls,o Cometlis,,Org,fn,
amalia,participants,lusa_100,cls,o mercado de Arroios,,Fac,fn,
amalia,participants,lusa_100,cls,o suspeito,,Per,fn,
amalia,participants,lusa_100,cls,À Lusa,,Org,fn,
amalia,participants,lusa_104,cls,homem,Per,Per,tp,
amalia,participants,lusa_104,cls,jovem,Per,Per,tp,
amalia,participants,lusa_104,cls,coletividade,Loc,,fp,
amalia,participants,lusa_104,cls,prisão preventiva,Other,,fp,
amalia,participants,lusa_104,cls,Alto da Guerra,Loc,,fp,
amalia,participants,lusa_104,cls,Setúbal,Loc,,fp,
amalia,participants,lusa_104,cls,crimes,Other,,fp,
amalia,participants,lusa_104,cls,homicídio qualificado,Other,,fp,
amalia,participants,lusa_104,cls,forma tentada,Other,,fp,
amalia,participants,lusa_104,cls,detenção de arma proibida,Other,,fp,
amalia,participants,lusa_104,cls,Polícia Judiciária,Org,,fp,
amalia,participants,lusa_104,cls,comunicado,Other,,fp,
amalia,participants,lusa_104,cls,primeiro interrogatório judicial,Eve,,fp,
amalia,participants,lusa_104,cls,omissão de auxílio,Other,,fp,
amalia,participants,lusa_104,cls,A polícia,,Org,fn,
amalia,participants,lusa_104,cls,o presumível agressor,,Per,fn,
amalia,participants,lusa_104,cls,a PJ,,Org,fn,
amalia,participants,lusa_104,cls,arma de fogo,,Obj,fn,
amalia,participants,lusa_104,cls,um homem de 63 anos,,Per,fn,
amalia,participants,lusa_104,cls,o local,,Loc,fn,
amalia,participants,lusa_104,cls,O detido,,Per,fn,
amalia,participants,lusa_104,cls,uma coletividade de Setúbal,,Org,fn,
amalia,participants,lusa_104,cls,um jovem,,Per,fn,
amalia,participants,lusa_104,cls,o Alto da Guerra,,Loc,fn,
amalia,participants,lusa_104,cls,que,,Per,fn,
amalia,participants,lusa_104,cls,PJ,,Org,fn,
amalia,participants,lusa_104,cls,um ombro,,Other,fn,
amalia,participants,lusa_104,cls,lhe,,Per,fn,
amalia,participants,lusa_104,cls,a medida de coação,,Other,fn,
amalia,participants,lusa_104,cls,o sexagenário,,Per,fn,
amalia,participants,lusa_104,cls,um comunicado,,Obj,fn,
amalia,participants,lusa_104,cls,um grupo de convivas,,Per,fn,
amalia,participants,lusa_104,cls,a vítima,,Per,fn,
amalia,participants,lusa_104,cls,"um jovem,",,Per,fn,
amalia,participants,lusa_104,cls,o grupo,,Per,fn,
amalia,participants,lusa_104,cls,coletividade de Setúbal,,Org,fn,
amalia,participants,lusa_104,cls,A Polícia Judiciária (PJ) de Setúbal,,Org,fn,
amalia,participants,lusa_104,cls,a coletividade,,Org,fn,
amalia,participants,lusa_104,cls,braço,,Other,fn,
amalia,participants,lusa_104,cls,o restaurante,,Loc,fn,
amalia,participants,lusa_11,cls,a mulher,,Per,fn,
amalia,participants,lusa_11,cls,bivalves,,Nat,fn,
amalia,participants,lusa_11,cls,lá,,Loc,fn,
amalia,participants,lusa_11,cls,percentagens excessivas,,Other,fn,
amalia,participants,lusa_11,cls,cais da Torreira,,Fac,fn,
amalia,participants,lusa_11,cls,distrito de Aveiro,,Pl_civil,fn,
amalia,participants,lusa_11,cls,uma senhora,,Per,fn,
amalia,participants,lusa_11,cls,os Bombeiros,,Org,fn,
amalia,participants,lusa_11,cls,o local,,Loc,fn,
amalia,participants,lusa_11,cls,Aveiro,,Pl_civil,fn,
amalia,participants,lusa_11,cls,facto,,Other,fn,
amalia,participants,lusa_11,cls,Lusa,,Org,fn,
amalia,participants,lusa_11,cls,coliformes fecais,,Nat,fn,
amalia,participants,lusa_11,cls,a Murtosa,,Pl_civil,fn,
amalia,participants,lusa_11,cls,A GNR,,Org,fn,
amalia,participants,lusa_11,cls,que,,Per,fn,
amalia,participants,lusa_11,cls,um homem,,Per,fn,
amalia,participants,lusa_11,cls,as águas,,Nat,fn,
amalia,participants,lusa_11,cls,dezenas de mariscadores,,Per,fn,
amalia,participants,lusa_11,cls,a Torreira,,Pl_civil,fn,
amalia,participants,lusa_11,cls,a viatura,,Obj,fn,
amalia,participants,lusa_11,cls,o condutor,,Per,fn,
amalia,participants,lusa_11,cls,o Hospital de Aveiro,,Loc,fn,
amalia,participants,lusa_11,cls,a mesma fonte,,Per,fn,
amalia,participants,lusa_11,cls,a GNR,,Org,fn,
amalia,participants,lusa_11,cls,fonte,,Per,fn,
amalia,participants,lusa_11,cls,a ria de Aveiro,,Loc,fn,
amalia,participants,lusa_11,cls,ele,,Per,fn,
amalia,participants,lusa_11,cls,cais,,Fac,fn,
amalia,participants,lusa_11,cls,Uma mulher de 44 anos,,Per,fn,
amalia,participants,lusa_11,cls,o senhor,,Per,fn,
amalia,participants,lusa_11,cls,ria,,Pl_water,fn,
amalia,participants,lusa_11,cls,Os pescadores,,Per,fn,
amalia,participants,lusa_11,cls,Os mariscadores,,Per,fn,
amalia,participants,lusa_112,cls,facas,,Obj,fn,
amalia,participants,lusa_112,cls,outras sete,,Per,fn,
amalia,participants,lusa_112,cls,a cidade de Kaiyuan,,Loc,fn,
amalia,participants,lusa_112,cls,explosivos caseiros,,Obj,fn,
amalia,participants,lusa_112,cls,uma pessoa,,Per,fn,
amalia,participants,lusa_112,cls,O suspeito,,Per,fn,
amalia,participants,lusa_112,cls,armas de fogo,,Obj,fn,
amalia,participants,lusa_112,cls,os media,,Org,fn,
amalia,participants,lusa_112,cls,Homem,,Per,fn,
amalia,participants,lusa_112,cls,o nordeste da China,,Loc,fn,
amalia,participants,lusa_112,cls,Pelo menos sete pessoas,,Per,fn,
amalia,participants,lusa_112,cls,um homem,,Per,fn,
amalia,participants,lusa_112,cls,a província de Liaoning,,Loc,fn,
amalia,participants,lusa_112,cls,em Pequim,,Loc,fn,
amalia,participants,lusa_112,cls,sete pessoas,,Per,fn,
amalia,participants,lusa_112,cls,um jardim de infância,,Loc,fn,
amalia,participants,lusa_112,cls,uma sauna,,Loc,fn,
amalia,participants,lusa_112,cls,uma escola,,Org,fn,
amalia,participants,lusa_112,cls,os meios de comunicação estatais,,Org,fn,
amalia,participants,lusa_112,cls,um balneário,,Loc,fn,
amalia,participants,lusa_112,cls,à porta,,Obj,fn,
amalia,participants,lusa_112,cls,a região sul de Guangxi,,Loc,fn,
amalia,participants,lusa_112,cls,um centro comercial,,Loc,fn,
amalia,participants,lusa_112,cls,12,,Per,fn,
amalia,participants,lusa_112,cls,o sobrenome Yang,,Other,fn,
amalia,participants,lusa_112,cls,um segurança,,Per,fn,
amalia,participants,lusa_112,cls,o motivo,,Other,fn,
amalia,participants,lusa_112,cls,a sociedade,,Per,fn,
amalia,participants,lusa_112,cls,uma faca,,Obj,fn,
amalia,participants,lusa_112,cls,o suspeito,,Per,fn,
amalia,participants,lusa_112,cls,pelo menos 39 pessoas,,Per,fn,
amalia,participants,lusa_112,cls,Autores,,Per,fn,
amalia,participants,lusa_112,cls,A lei chinesa,,Other,fn,
amalia,participants,lusa_20,cls,Vila das Aves,Loc,Pl_civil,tp,
amalia,participants,lusa_20,cls,Bombeiros da Vila das Aves,Org,Org,tp,
