<Output>
[
  ["authorities", "Org"],
  ["Maradona's driver", "Per"],
  ["Maradona's driver", "Per"],
  ["Maximiliano Trimarchi", "Per"],
  ["Maradona", "Per"],
  ["the apartment", "Fac"],
  ["the apartment", "Fac"],
  ["the apartment", "Fac"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
  ["the death", "Obj"],
