model,language,entity,template,variation,doc_id,sentence_id,stage,item,label,confidence
gemini,english,participants,sent_def_exp,temp0.3_nodelim_norole_nocot,lusa_31,1,detection,,yes,1.0
gemini,english,participants,ext_def_exp,temp0.3_nodelim_norole_nocot,lusa_31,1,extraction,The GNR of Freamunde,,0.95
gemini,english,participants,ext_def_exp,temp0.3_nodelim_norole_nocot,lusa_31,1,extraction,it,,0.9
gemini,english,participants,ext_def_exp,temp0.3_nodelim_norole_nocot,lusa_31,1,extraction,a restaurant and drinks establishment,,0.95
gemini,english,participants,ext_def_exp,temp0.3_nodelim_norole_nocot,lusa_31,1,extraction,around 50 people,,0.95
gemini,english,participants,ext_def_exp,temp0.3_nodelim_norole_nocot,lusa_31,1,extraction,Freamunde,,0.9
gemini,english,participants,ext_def_exp,temp0.3_nodelim_norole_nocot,lusa_31,1,extraction,that location,,0.9
gemini,english,participants,ext_def_exp,temp0.3_nodelim_norole_nocot,lusa_31,1,extraction,municipality of Paços de Ferreira,,0.9
gemini,english,participants,cls_def_exp,temp0.3_nodelim_norole_nocot,lusa_31,1,classification,The GNR of Freamunde,Org,1.0
gemini,english,participants,cls_def_exp,temp0.3_nodelim_norole_nocot,lusa_31,1,classification,it,Org,1.0
gemini,english,participants,cls_def_exp,temp0.3_nodelim_norole_nocot,lusa_31,1,classification,a restaurant and drinks establishment,Fac,1.0
gemini,english,participants,cls_def_exp,temp0.3_nodelim_norole_nocot,lusa_31,1,classification,around 50 people,Per,1.0
gemini,english,participants,cls_def_exp,temp0.3_nodelim_norole_nocot,lusa_31,1,classification,Freamunde,Pl_civil,1.0
gemini,english,participants,cls_def_exp,temp0.3_nodelim_norole_nocot,lusa_31,1,classification,that location,Pl_civil,1.0
gemini,english,participants,cls_def_exp,temp0.3_nodelim_norole_nocot,lusa_31,1,classification,municipality of Paços de Ferreira,Pl_civil,1.0
gemini,english,participants,sent_def_exp,temp0.3_nodelim_norole_nocot,lusa_31,2,detection,,yes,1.0
gemini,english,participants,ext_def_exp,temp0.3_nodelim_norole_nocot,lusa_31,2,extraction,The military,,0.98
gemini,english,participants,ext_def_exp,temp0.3_nodelim_norole_nocot,lusa_31,2,extraction,the establishment,,0.98
gemini,english,participants,ext_def_exp,temp0.3_nodelim_norole_nocot,lusa_31,2,extraction,live music,,0.75
gemini,english,participants,ext_def_exp,temp0.3_nodelim_norole_nocot,lusa_31,2,extraction,the covid-19 pandemic,,0.8
gemini,english,participants,ext_def_exp,temp0.3_nodelim_norole_nocot,lusa_31,2,extraction,the authority,,0.98
gemini,english,participants,cls_def_exp,temp0.3_nodelim_norole_nocot,lusa_31,2,classification,The military,Org,1.0
gemini,english,participants,cls_def_exp,temp0.3_nodelim_norole_nocot,lusa_31,2,classification,the establishment,Fac,0.95
gemini,english,participants,cls_def_exp,temp0.3_nodelim_norole_nocot,lusa_31,2,classification,live music,Other,1.0
gemini,english,participants,cls_def_exp,temp0.3_nodelim_norole_nocot,lusa_31,2,classification,the covid-19 pandemic,Other,1.0
gemini,english,participants,cls_def_exp,temp0.3_nodelim_norole_nocot,lusa_31,2,classification,the authority,Org,1.0
gemini,english,participants,sent_def_exp,temp0.3_nodelim_norole_nocot,lusa_31,3,detection,,yes,1.0
gemini,english,participants,ext_def_exp,temp0.3_nodelim_norole_nocot,lusa_31,3,extraction,The 48-year-old owner,,1.0
gemini,english,participants,ext_def_exp,temp0.3_nodelim_norole_nocot,lusa_31,3,extraction,the event,,0.95
gemini,english,participants,ext_def_exp,temp0.3_nodelim_norole_nocot,lusa_31,3,extraction,an administrative offense report,,0.95
gemini,english,participants,cls_def_exp,temp0.3_nodelim_norole_nocot,lusa_31,3,classification,The 48-year-old owner,Per,1.0
gemini,english,participants,cls_def_exp,temp0.3_nodelim_norole_nocot,lusa_31,3,classification,the event,Other,1.0
gemini,english,participants,cls_def_exp,temp0.3_nodelim_norole_nocot,lusa_31,3,classification,an administrative offense report,Obj,1.0
