modelo,entity,doc_id,template,complete_prediction,token,pred_type,matched_annotation,annt_type,result
gemini,participants,lusa_1,cls,"['administrative', 'offense', 'notice']",an,Obj,an administrative offense notice,Obj,fn
gemini,participants,lusa_1,cls,"['administrative', 'offense', 'notice']",administrative,Obj,an administrative offense notice,Obj,tp
gemini,participants,lusa_1,cls,"['administrative', 'offense', 'notice']",offense,Obj,an administrative offense notice,Obj,tp
gemini,participants,lusa_1,cls,"['administrative', 'offense', 'notice']",notice,Obj,an administrative offense notice,Obj,tp
gemini,participants,lusa_1,cls,['soldiers'],soldiers,Per,soldiers,Per,tp
gemini,participants,lusa_1,cls,"['live', 'music']",live,Other,live music,Other,tp
gemini,participants,lusa_1,cls,"['live', 'music']",music,Other,live music,Other,tp
gemini,participants,lusa_1,cls,['owner'],the,Per,the owner,Per,fn
gemini,participants,lusa_1,cls,['owner'],owner,Per,the owner,Per,tp
gemini,participants,lusa_1,cls,['party'],party,Other,,,fp
gemini,participants,lusa_1,cls,"['covid', '19', 'pandemic']",covid,Other,,,fp
gemini,participants,lusa_1,cls,"['covid', '19', 'pandemic']",19,Other,,,fp
gemini,participants,lusa_1,cls,"['covid', '19', 'pandemic']",pandemic,Other,,,fp
gemini,participants,lusa_1,cls,['corotelo'],corotelo,Loc,Corotelo,Pl_civil,tp
gemini,participants,lusa_1,cls,"['são', 'brás', 'de', 'alportel']",são,Loc,São de Alportel,Pl_civil,tp
gemini,participants,lusa_1,cls,"['são', 'brás', 'de', 'alportel']",brás,Loc,São de Alportel,Pl_civil,fp
gemini,participants,lusa_1,cls,"['são', 'brás', 'de', 'alportel']",de,Loc,São de Alportel,Pl_civil,tp
gemini,participants,lusa_1,cls,"['são', 'brás', 'de', 'alportel']",alportel,Loc,São de Alportel,Pl_civil,tp
gemini,participants,lusa_1,cls,['gnr'],gnr,Org,GNR,Org,tp
gemini,participants,lusa_1,cls,"['50', 'people']",50,Per,people,Per,fp
gemini,participants,lusa_1,cls,"['50', 'people']",people,Per,people,Per,tp
gemini,participants,lusa_1,cls,['location'],location,Loc,location,Loc,tp
gemini,participants,lusa_1,cls,['complaint'],complaint,Obj,,,fp
gemini,participants,lusa_1,cls,['rules'],rules,Other,,,fp
gemini,participants,lusa_1,cls,"['faro', 'territorial', 'command', 'of', 'the', 'gnr']",the,Org,the Faro Territorial Command,Org,fn
gemini,participants,lusa_1,cls,"['faro', 'territorial', 'command', 'of', 'the', 'gnr']",faro,Org,the Faro Territorial Command,Org,tp
gemini,participants,lusa_1,cls,"['faro', 'territorial', 'command', 'of', 'the', 'gnr']",territorial,Org,the Faro Territorial Command,Org,tp
gemini,participants,lusa_1,cls,"['faro', 'territorial', 'command', 'of', 'the', 'gnr']",command,Org,the Faro Territorial Command,Org,tp
gemini,participants,lusa_1,cls,"['faro', 'territorial', 'command', 'of', 'the', 'gnr']",of,Org,the Faro Territorial Command,Org,fp
gemini,participants,lusa_1,cls,"['faro', 'territorial', 'command', 'of', 'the', 'gnr']",gnr,Org,the Faro Territorial Command,Org,fp
