doc_id,n_sentences,n_detected,n_not_detected,n_detection_unparseable,n_extracted_spans,n_classified_spans,n_unlisted_spans,n_parse_failures
lusa_1,4,4,0,0,15,15,0,0
lusa_101,5,5,0,0,22,22,0,0
lusa_102,4,4,0,0,16,16,0,0
lusa_103,5,5,0,0,21,21,0,0
lusa_105,5,4,1,0,16,16,0,0
lusa_106,7,6,1,0,26,26,0,0
lusa_107,3,3,0,0,10,10,0,0
lusa_108,5,5,0,0,18,18,0,0
lusa_109,6,6,0,0,27,27,0,0
lusa_110,6,6,0,0,27,28,0,0
lusa_111,6,6,0,0,28,28,0,0
lusa_113,6,6,0,0,24,24,0,0
lusa_114,5,5,0,0,15,15,0,0
lusa_115,6,6,0,0,20,20,0,0
lusa_116,9,8,1,0,24,24,0,0
lusa_12,7,6,1,0,26,26,0,0
lusa_13,7,6,1,0,23,23,0,0
lusa_14,7,6,1,0,16,16,0,0
lusa_15,5,5,0,0,16,16,0,0
lusa_16,4,4,0,0,14,14,0,0
lusa_17,8,7,1,0,21,21,0,0
lusa_18,6,6,0,0,26,26,0,0
lusa_19,5,5,0,0,21,21,0,0
lusa_2,6,6,0,0,21,21,0,0
lusa_21,5,4,1,0,18,19,0,0
lusa_22,6,6,0,0,18,18,0,0
lusa_23,7,7,0,0,30,30,0,0
lusa_24,4,4,0,0,18,18,0,0
lusa_25,6,6,0,0,17,18,0,0
lusa_26,5,5,0,0,26,27,0,0
lusa_27,5,4,1,0,19,19,0,0
lusa_28,8,7,1,0,24,25,0,0
lusa_29,5,4,1,0,18,18,0,0
lusa_3,7,6,1,0,24,24,0,0
lusa_31,3,3,0,0,14,9,0,0
lusa_32,4,3,1,0,16,16,0,0
lusa_33,6,5,1,0,21,21,0,0
lusa_35,6,6,0,0,23,23,0,0
lusa_36,6,4,2,0,12,12,0,0
lusa_37,5,5,0,0,17,17,0,1
lusa_39,5,5,0,0,22,22,0,0
lusa_40,5,5,0,0,16,16,0,0
lusa_41,4,4,0,0,12,12,0,0
lusa_42,5,5,0,0,21,21,0,0
lusa_43,5,5,0,0,15,15,0,0
lusa_44,4,3,1,0,12,12,0,0
lusa_45,4,4,0,0,18,18,0,0
lusa_46,5,5,0,0,14,14,0,0
lusa_48,4,3,1,0,11,11,0,0
lusa_49,3,3,0,0,18,18,0,0
lusa_5,4,3,1,0,10,10,0,0
lusa_50,4,3,1,0,13,13,0,0
lusa_51,7,6,1,0,26,26,0,0
lusa_52,5,5,0,0,18,18,0,0
lusa_53,6,6,0,0,12,12,0,0
lusa_54,7,6,1,0,27,27,0,0
lusa_55,5,5,0,0,19,19,0,0
lusa_56,9,8,1,0,23,23,0,0
lusa_57,6,6,0,0,18,18,0,0
lusa_58,5,4,1,0,15,15,0,1
lusa_59,5,5,0,0,15,15,0,0
lusa_6,7,5,2,0,16,16,0,0
lusa_61,6,6,0,0,27,27,0,0
lusa_62,7,6,1,0,28,30,0,0
lusa_63,3,3,0,0,16,16,0,0
lusa_64,5,5,0,0,18,18,0,0
lusa_65,4,4,0,0,17,17,0,0
lusa_66,5,4,1,0,12,12,0,0
lusa_68,4,4,0,0,15,15,0,0
lusa_69,5,5,0,0,18,18,0,0
lusa_7,6,6,0,0,20,20,0,0
lusa_70,6,5,1,0,21,21,0,0
lusa_71,6,6,0,0,22,22,0,0
lusa_72,6,5,1,0,19,19,0,0
lusa_73,5,5,0,0,23,24,0,0
lusa_74,5,4,1,0,16,16,0,0
lusa_75,5,5,0,0,22,22,0,0
lusa_76,8,8,0,0,28,28,0,0
lusa_78,4,4,0,0,18,18,0,0
lusa_8,4,4,0,0,19,19,0,0
lusa_81,5,4,1,0,14,15,0,0
lusa_82,4,4,0,0,17,17,0,0
lusa_84,6,4,2,0,13,13,0,0
lusa_85,5,5,0,0,24,25,0,0
lusa_87,4,4,0,0,18,20,0,0
lusa_88,7,6,1,0,21,22,0,0
lusa_89,7,6,1,0,25,25,0,0
lusa_9,5,5,0,0,19,19,0,0
lusa_90,6,6,0,0,20,20,0,0
lusa_91,4,4,0,0,15,15,0,0
lusa_92,6,5,1,0,13,13,0,0
lusa_93,5,5,0,0,17,17,0,0
lusa_94,5,4,1,0,15,15,0,0
lusa_95,4,4,0,0,20,20,0,0
lusa_98,7,6,1,0,24,24,0,0
lusa_99,4,4,0,0,14,14,0,0
