modelo,entity,doc_id,template,complete_prediction,token,pred_type,matched_annotation,full_matched_sentence,ann_entity_id,annt_type,result,word_category,pct_tp_participant_level,result_type
gemini,participants,lusa_100,cls,"['cometlis', 'source']",a,Per,a Cometlis,"“It may have been a disagreement between two individuals that involved a sharp weapon, with one of them being stabbed in the back,” said a Cometlis source.",110,Org,fn,Articles,0.5,PARTIAL
gemini,participants,lusa_100,cls,"['cometlis', 'source']",cometlis,Per,a Cometlis,"“It may have been a disagreement between two individuals that involved a sharp weapon, with one of them being stabbed in the back,” said a Cometlis source.",110,Org,tp,Nao definido,0.5,PARTIAL
gemini,participants,lusa_100,cls,"['cometlis', 'source']",source,Per,a Cometlis,"“It may have been a disagreement between two individuals that involved a sharp weapon, with one of them being stabbed in the back,” said a Cometlis source.",110,Org,fp,Generic Actors,0.5,PARTIAL
gemini,participants,lusa_100,cls,"['two', 'individuals']",two,Per,two individuals,"“It may have been a disagreement between two individuals that involved a sharp weapon, with one of them being stabbed in the back,” said a Cometlis source.",74,Per,tp,Numerals & Quantifiers,1.0,EXACT
gemini,participants,lusa_100,cls,"['two', 'individuals']",individuals,Per,two individuals,"“It may have been a disagreement between two individuals that involved a sharp weapon, with one of them being stabbed in the back,” said a Cometlis source.",74,Per,tp,Nao definido,1.0,EXACT
gemini,participants,lusa_100,cls,"['police', 'source']",police,Per,police forces,"At around 2:34 pm, the crime scene was preserved by police forces and with security tapes.",135,Org,tp,Generic Actors,0.5,PARTIAL
gemini,participants,lusa_100,cls,"['police', 'source']",source,Per,police forces,"At around 2:34 pm, the crime scene was preserved by police forces and with security tapes.",135,Org,fp,Generic Actors,0.5,PARTIAL
gemini,participants,lusa_100,cls,"['police', 'source']",forces,Per,police forces,"At around 2:34 pm, the crime scene was preserved by police forces and with security tapes.",135,Org,fn,Nao definido,0.5,PARTIAL
gemini,participants,lusa_100,cls,['psp'],the,Org,the PSP,"A 29-year-old man died today after being stabbed in the back near the Arroios market, in Lisbon, following a disagreement, the PSP informed the Lusa agency.",114,Org,fn,Articles,0.6666666666666666,PARTIAL
gemini,participants,lusa_100,cls,['psp'],psp,Org,the PSP,"A 29-year-old man died today after being stabbed in the back near the Arroios market, in Lisbon, following a disagreement, the PSP informed the Lusa agency.",114,Org,tp,Nao definido,0.6666666666666666,PARTIAL
gemini,participants,lusa_100,cls,['suspect'],the,Per,the suspect,"Still collecting information about the case, the PSP said that the suspect in the crime was arrested on Avenida Almirante Reis after attempting to escape.",122,Per,fn,Articles,0.6666666666666666,PARTIAL
gemini,participants,lusa_100,cls,['suspect'],suspect,Per,the suspect,"Still collecting information about the case, the PSP said that the suspect in the crime was arrested on Avenida Almirante Reis after attempting to escape.",122,Per,tp,Generic Actors,0.6666666666666666,PARTIAL
gemini,participants,lusa_100,cls,"['arroios', 'market']",the,Fac,the Arroios market,Man dies after being stabbed in the back near the Arroios market in Lisbon,87,Fac,fn,Articles,0.8,PARTIAL
gemini,participants,lusa_100,cls,"['arroios', 'market']",arroios,Fac,the Arroios market,Man dies after being stabbed in the back near the Arroios market in Lisbon,87,Fac,tp,Nao definido,0.8,PARTIAL
gemini,participants,lusa_100,cls,"['arroios', 'market']",market,Fac,the Arroios market,Man dies after being stabbed in the back near the Arroios market in Lisbon,87,Fac,tp,Nao definido,0.8,PARTIAL
gemini,participants,lusa_100,cls,"['avenida', 'almirante', 'reis']",on,Loc,on Avenida Almirante Reis,"Still collecting information about the case, the PSP said that the suspect in the crime was arrested on Avenida Almirante Reis after attempting to escape.",117,Loc,fn,Prepositions & Connectives,0.8571428571428571,PARTIAL
gemini,participants,lusa_100,cls,"['avenida', 'almirante', 'reis']",avenida,Loc,on Avenida Almirante Reis,"Still collecting information about the case, the PSP said that the suspect in the crime was arrested on Avenida Almirante Reis after attempting to escape.",117,Loc,tp,Nao definido,0.8571428571428571,PARTIAL
gemini,participants,lusa_100,cls,"['avenida', 'almirante', 'reis']",almirante,Loc,on Avenida Almirante Reis,"Still collecting information about the case, the PSP said that the suspect in the crime was arrested on Avenida Almirante Reis after attempting to escape.",117,Loc,tp,Nao definido,0.8571428571428571,PARTIAL
gemini,participants,lusa_100,cls,"['avenida', 'almirante', 'reis']",reis,Loc,on Avenida Almirante Reis,"Still collecting information about the case, the PSP said that the suspect in the crime was arrested on Avenida Almirante Reis after attempting to escape.",117,Loc,tp,Nao definido,0.8571428571428571,PARTIAL
gemini,participants,lusa_100,cls,"['police', 'forces']",police,Org,police forces,"At around 2:34 pm, the crime scene was preserved by police forces and with security tapes.",135,Org,tp,Generic Actors,1.0,EXACT
