word,frequency
the,1769
of,697
in,608
a,545
to,447
and,426
was,313
man,198
that,198
for,160
at,152
on,152
gnr,137
from,130
by,123
with,121
2020,115
today,106
year,106
source,105
old,105
police,96
were,91
according,91
an,88
de,85
he,82
said,78
after,76
his,76
is,70
this,59
two,57
s,57
who,57
district,55
lusa,54
porto,52
victim,51
which,51
statement,50
as,50
vila,47
had,47
scene,46
fire,46
being,45
hospital,43
also,43
found,42
it,42
told,41
around,41
people,39
november,39
out,38
vehicle,37
been,37
da,37
lisbon,36
command,36
pm,35
detained,34
death,34
municipality,34
seized,34
same,33
nova,31
during,31
judicial,30
accident,30
psp,30
braga,29
died,29
do,28
announced,28
injured,28
authorities,28
arrested,28
crime,28
investigation,28
reported,28
not,27
when,27
occurred,27
30,27
force,26
following,26
alert,26
court,26
into,26
are,26
one,26
given,26
years,25
transported,25
carried,25
october,25
suspect,25
be,25
took,25
firefighters,25
arrest,25
house,25
due,25
body,25
emergency,24
where,24
trafficking,24
agency,24
four,23
drug,23
military,23
incident,23
they,23
criminal,23
dead,23
medical,23
castelo,22
pj,22
him,22
woman,22
state,22
dec,22
public,22
12,21
violence,21
19,21
will,21
attack,21
her,21
december,21
vehicles,21
there,21
river,20
up,20
three,20
men,20
already,20
gaia,20
serious,20
judiciary,20
center,19
government,19
case,19
over,19
city,19
but,19
territorial,19
euros,19
first,19
aged,19
aveiro,18
home,18
inside,18
having,18
injuries,18
acg,18
maritime,18
setúbal,18
added,18
other,18
office,17
20,17
national,17
place,17
have,17
note,17
security,16
shot,16
domestic,16
seven,16
são,16
action,16
part,16
local,16
area,16
authority,16
without,16
defendant,15
run,15
condition,15
jap,15
relief,15
near,15
between,15
sent,15
seriously,15
no,15
accused,15
viana,15
guard,15
covid,15
santa,15
parish,15
has,15
while,14
25,14
firearm,14
involved,14
dies,14
victims,14
operations,14
real,14
protection,14
driver,14
measures,14
monday,14
22,13
kilos,13
through,13
unit,13
several,13
penafiel,13
60,13
nov,13
jfo,13
car,13
department,13
cdos,13
partner,13
coercive,13
suspected,13
information,13
hit,13
members,13
went,12
detainee,12
50,12
resuscitation,12
detected,12
any,12
doses,12
meters,12
sunday,12
vessel,12
prohibited,12
saturday,12
record,12
present,12
mother,12
province,12
prison,12
11,12
family,12
00,12
since,12
minister,12
still,12
10,12
interrogation,11
16,11
roc,11
illegal,11
ended,11
maria,11
road,11
threats,11
physical,11
possession,11
its,11
against,11
began,11
search,11
country,11
six,11
addition,11
am,11
declared,11
person,11
hashish,11
portalegre,11
more,11
vmer,11
identified,11
their,10
explained,10
report,10
15,10
arrests,10
rescued,10
leiria,10
five,10
building,10
children,10
then,10
taken,10
suspects,10
air,10
falling,10
unknown,10
suffered,10
morning,10
control,10
jgj,10
than,10
preventive,10
corporation,10
prosecutor,9
feira,9
republic,9
detention,9
made,9
floating,9
soldiers,9
shooting,9
wife,9
suspicion,9
mp,9
afternoon,9
5,9
tree,9
investigating,9
team,9
commander,9
release,9
states,9
ambulance,9
inem,9
mobilized,9
work,9
27,9
luanda,9
located,9
possible,9
guarda,9
before,9
civil,9
3,9
14,9
9,9
celorico,9
called,9
confirmed,9
2,9
allegedly,9
17,9
about,9
post,9
location,9
another,9
oct,8
administrative,8
inspection,8
we,8
offense,8
cell,8
adds,8
portuguese,8
health,8
australia,8
8,8
