modelo,entity,doc_id,template,token,pred_type,annt_type,result,f1_r_score
qwen3_14b,participants,lusa_1,ext_exp_temp0.3_nodelim_norole_nocot,militares,,Per,tp,
qwen3_14b,participants,lusa_1,ext_exp_temp0.3_nodelim_norole_nocot,Corotelo,,Pl_civil,tp,
qwen3_14b,participants,lusa_1,ext_exp_temp0.3_nodelim_norole_nocot,GNR,,Org,tp,
qwen3_14b,participants,lusa_1,ext_exp_temp0.3_nodelim_norole_nocot,as pessoas,,Per,tp,
qwen3_14b,participants,lusa_1,ext_exp_temp0.3_nodelim_norole_nocot,concelho de São Brás de Alportel,,Pl_civil,tp,
qwen3_14b,participants,lusa_1,ext_exp_temp0.3_nodelim_norole_nocot,estabelecimento de bebidas,,Fac,tp,
qwen3_14b,participants,lusa_1,ext_exp_temp0.3_nodelim_norole_nocot,o proprietário,,Per,tp,
qwen3_14b,participants,lusa_1,ext_exp_temp0.3_nodelim_norole_nocot,Os militares,,Per,tp,
qwen3_14b,participants,lusa_1,ext_exp_temp0.3_nodelim_norole_nocot,A GNR,,Org,tp,
qwen3_14b,participants,lusa_1,ext_exp_temp0.3_nodelim_norole_nocot,um auto de contraordenação,,Obj,tp,
qwen3_14b,participants,lusa_1,ext_exp_temp0.3_nodelim_norole_nocot,50 pessoas,,,fp,
qwen3_14b,participants,lusa_1,ext_exp_temp0.3_nodelim_norole_nocot,Comando Territorial de Faro da GNR,,,fp,
qwen3_14b,participants,lusa_1,ext_exp_temp0.3_nodelim_norole_nocot,São Brás de Alportel,,,fp,
qwen3_14b,participants,lusa_1,ext_exp_temp0.3_nodelim_norole_nocot,Posto Territorial de São de Alportel,,,fp,
qwen3_14b,participants,lusa_1,ext_exp_temp0.3_nodelim_norole_nocot,a nota,,,fp,
qwen3_14b,participants,lusa_1,ext_exp_temp0.3_nodelim_norole_nocot,um bar,,,fp,
qwen3_14b,participants,lusa_1,ext_exp_temp0.3_nodelim_norole_nocot,cerca de 50 pessoas,,Per,fn,
qwen3_14b,participants,lusa_1,ext_exp_temp0.3_nodelim_norole_nocot,comunicado,,Obj,fn,
qwen3_14b,participants,lusa_1,ext_exp_temp0.3_nodelim_norole_nocot,o Posto Territorial de São de Alportel,,Org,fn,
qwen3_14b,participants,lusa_1,ext_exp_temp0.3_nodelim_norole_nocot,São de Alportel,,Pl_civil,fn,
qwen3_14b,participants,lusa_1,ext_exp_temp0.3_nodelim_norole_nocot,Faro,,Pl_civil,fn,
qwen3_14b,participants,lusa_1,ext_exp_temp0.3_nodelim_norole_nocot,nota,,Obj,fn,
qwen3_14b,participants,lusa_1,ext_exp_temp0.3_nodelim_norole_nocot,normas referentes à pandemia de covid-19,,Other,fn,
qwen3_14b,participants,lusa_1,ext_exp_temp0.3_nodelim_norole_nocot,o Posto Territorial,,Fac,fn,
qwen3_14b,participants,lusa_1,ext_exp_temp0.3_nodelim_norole_nocot,o Comando Territorial,,Org,fn,
qwen3_14b,participants,lusa_1,ext_exp_temp0.3_nodelim_norole_nocot,local,,Loc,fn,
qwen3_14b,participants,lusa_1,ext_exp_temp0.3_nodelim_norole_nocot,bar,,Fac,fn,
qwen3_14b,participants,lusa_1,ext_exp_temp0.3_nodelim_norole_nocot,música ao vivo,,Other,fn,
qwen3_14b,participants,lusa_10,ext_exp_temp0.3_nodelim_norole_nocot,AFP,,Org,tp,
qwen3_14b,participants,lusa_10,ext_exp_temp0.3_nodelim_norole_nocot,várias pessoas,,Per,tp,
qwen3_14b,participants,lusa_10,ext_exp_temp0.3_nodelim_norole_nocot,agência France-Presse,,Org,tp,
qwen3_14b,participants,lusa_10,ext_exp_temp0.3_nodelim_norole_nocot,Manhattan,,Pl_civil,tp,
qwen3_14b,participants,lusa_10,ext_exp_temp0.3_nodelim_norole_nocot,O condutor do automóvel,,Per,tp,
qwen3_14b,participants,lusa_10,ext_exp_temp0.3_nodelim_norole_nocot,Nova Iorque,,Pl_civil,tp,
qwen3_14b,participants,lusa_10,ext_exp_temp0.3_nodelim_norole_nocot,a mesma fonte,,Org,tp,
qwen3_14b,participants,lusa_10,ext_exp_temp0.3_nodelim_norole_nocot,NYPD,,Org,tp,
qwen3_14b,participants,lusa_10,ext_exp_temp0.3_nodelim_norole_nocot,polícia de Nova Iorque,,,fp,
qwen3_14b,participants,lusa_10,ext_exp_temp0.3_nodelim_norole_nocot,"manifestação ""Black Lives Matter""",,,fp,
qwen3_14b,participants,lusa_10,ext_exp_temp0.3_nodelim_norole_nocot,feridos,,,fp,
qwen3_14b,participants,lusa_10,ext_exp_temp0.3_nodelim_norole_nocot,Big Apple,,,fp,
qwen3_14b,participants,lusa_10,ext_exp_temp0.3_nodelim_norole_nocot,hospitais,,,fp,
qwen3_14b,participants,lusa_10,ext_exp_temp0.3_nodelim_norole_nocot,Automóvel,,,fp,
qwen3_14b,participants,lusa_10,ext_exp_temp0.3_nodelim_norole_nocot,a polícia,,Org,fn,
qwen3_14b,participants,lusa_10,ext_exp_temp0.3_nodelim_norole_nocot,os Estados Unidos,,Pl_country,fn,
qwen3_14b,participants,lusa_10,ext_exp_temp0.3_nodelim_norole_nocot,Um automobilista,,Per,fn,
qwen3_14b,participants,lusa_10,ext_exp_temp0.3_nodelim_norole_nocot,Várias corporações de bombeiros,,Org,fn,
qwen3_14b,participants,lusa_10,ext_exp_temp0.3_nodelim_norole_nocot,a 'Big Apple',,Pl_civil,fn,
qwen3_14b,participants,lusa_10,ext_exp_temp0.3_nodelim_norole_nocot,os quais,,Per,fn,
qwen3_14b,participants,lusa_10,ext_exp_temp0.3_nodelim_norole_nocot,o movimento “Black Lives Matter” (“As Vidas Negras Importam”),,Org,fn,
qwen3_14b,participants,lusa_10,ext_exp_temp0.3_nodelim_norole_nocot,vários feridos,,Per,fn,
qwen3_14b,participants,lusa_10,ext_exp_temp0.3_nodelim_norole_nocot,as autoridades,,Org,fn,
qwen3_14b,participants,lusa_10,ext_exp_temp0.3_nodelim_norole_nocot,ambulâncias,,Obj,fn,
qwen3_14b,participants,lusa_10,ext_exp_temp0.3_nodelim_norole_nocot,a polícia de Nova Iorque,,Org,fn,
qwen3_14b,participants,lusa_10,ext_exp_temp0.3_nodelim_norole_nocot,alguns,,Per,fn,
qwen3_14b,participants,lusa_10,ext_exp_temp0.3_nodelim_norole_nocot,o local,,Pl_civil,fn,
qwen3_14b,participants,lusa_10,ext_exp_temp0.3_nodelim_norole_nocot,O porta-voz,,Per,fn,
qwen3_14b,participants,lusa_10,ext_exp_temp0.3_nodelim_norole_nocot,mortos,,Per,fn,
qwen3_14b,participants,lusa_10,ext_exp_temp0.3_nodelim_norole_nocot,Lisboa,,Pl_capital,fn,
qwen3_14b,participants,lusa_10,ext_exp_temp0.3_nodelim_norole_nocot,vários hospitais,,Fac,fn,
qwen3_14b,participants,lusa_101,ext_exp_temp0.3_nodelim_norole_nocot,O homem,,Per,tp,
qwen3_14b,participants,lusa_101,ext_exp_temp0.3_nodelim_norole_nocot,Tribunal de Viana do Castelo,,Org,tp,
qwen3_14b,participants,lusa_101,ext_exp_temp0.3_nodelim_norole_nocot,O Tribunal de Viana do Castelo,,Org,tp,
qwen3_14b,participants,lusa_101,ext_exp_temp0.3_nodelim_norole_nocot,o arguido,,Per,tp,
qwen3_14b,participants,lusa_101,ext_exp_temp0.3_nodelim_norole_nocot,a juiz presidente,,Per,tp,
qwen3_14b,participants,lusa_101,ext_exp_temp0.3_nodelim_norole_nocot,a arma do crime,,Obj,tp,
qwen3_14b,participants,lusa_101,ext_exp_temp0.3_nodelim_norole_nocot,A magistrada,,Per,tp,
qwen3_14b,participants,lusa_101,ext_exp_temp0.3_nodelim_norole_nocot,O coletivo,,Per,tp,
qwen3_14b,participants,lusa_101,ext_exp_temp0.3_nodelim_norole_nocot,um homem de 36 anos,,Per,tp,
qwen3_14b,participants,lusa_101,ext_exp_temp0.3_nodelim_norole_nocot,a prova documental e testemunhal,,Other,tp,
qwen3_14b,participants,lusa_101,ext_exp_temp0.3_nodelim_norole_nocot,outro,,Per,tp,
qwen3_14b,participants,lusa_101,ext_exp_temp0.3_nodelim_norole_nocot,o homem,,Per,tp,
qwen3_14b,participants,lusa_101,ext_exp_temp0.3_nodelim_norole_nocot,homem,,Per,tp,
qwen3_14b,participants,lusa_101,ext_exp_temp0.3_nodelim_norole_nocot,2013,,,fp,
qwen3_14b,participants,lusa_101,ext_exp_temp0.3_nodelim_norole_nocot,a cidade,,,fp,
qwen3_14b,participants,lusa_101,ext_exp_temp0.3_nodelim_norole_nocot,a juiz presidente do coletivo,,,fp,
qwen3_14b,participants,lusa_101,ext_exp_temp0.3_nodelim_norole_nocot,a vítima mortal,,,fp,
qwen3_14b,participants,lusa_101,ext_exp_temp0.3_nodelim_norole_nocot,Viana do Castelo,,,fp,
qwen3_14b,participants,lusa_101,ext_exp_temp0.3_nodelim_norole_nocot,o julgamento,,,fp,
