modelo,entity,doc_id,template,complete_prediction,token,pred_type,matched_annotation,full_matched_sentence,ann_entity_id,annt_type,result,word_category,pct_tp_participant_level,result_type
amalia,participants,lusa_104,cls,['jovem'],jovem,Per,jovem,PJ detém homem suspeito de balear jovem em coletividade de Setúbal,T56,Per,tp,Substantivos Genéricos (Atores),1.0,EXACT
amalia,participants,lusa_104,cls,"['detenção', 'de', 'arma', 'proibida']",detenção,Other,,,,,fp,Nao definido,0.0,MISS
amalia,participants,lusa_104,cls,"['detenção', 'de', 'arma', 'proibida']",de,Other,,,,,fp,Preposições e Contrações,0.0,MISS
amalia,participants,lusa_104,cls,"['detenção', 'de', 'arma', 'proibida']",arma,Other,,,,,fp,Nao definido,0.0,MISS
amalia,participants,lusa_104,cls,"['detenção', 'de', 'arma', 'proibida']",proibida,Other,,,,,fp,Nao definido,0.0,MISS
amalia,participants,lusa_104,cls,"['polícia', 'judiciária']",a,Org,A Polícia Judiciária (PJ) de Setúbal,"A Polícia Judiciária (PJ) de Setúbal deteve um homem de 63 anos suspeito de ter baleado um jovem, na passada quarta-feira, no restaurante de uma coletividade de Setúbal, foi hoje anunciado.",T30,Org,fn,Artigos,0.5,PARTIAL
amalia,participants,lusa_104,cls,"['polícia', 'judiciária']",polícia,Org,A Polícia Judiciária (PJ) de Setúbal,"A Polícia Judiciária (PJ) de Setúbal deteve um homem de 63 anos suspeito de ter baleado um jovem, na passada quarta-feira, no restaurante de uma coletividade de Setúbal, foi hoje anunciado.",T30,Org,tp,Nao definido,0.5,PARTIAL
amalia,participants,lusa_104,cls,"['polícia', 'judiciária']",judiciária,Org,A Polícia Judiciária (PJ) de Setúbal,"A Polícia Judiciária (PJ) de Setúbal deteve um homem de 63 anos suspeito de ter baleado um jovem, na passada quarta-feira, no restaurante de uma coletividade de Setúbal, foi hoje anunciado.",T30,Org,tp,Nao definido,0.5,PARTIAL
amalia,participants,lusa_104,cls,"['polícia', 'judiciária']",pj,Org,A Polícia Judiciária (PJ) de Setúbal,"A Polícia Judiciária (PJ) de Setúbal deteve um homem de 63 anos suspeito de ter baleado um jovem, na passada quarta-feira, no restaurante de uma coletividade de Setúbal, foi hoje anunciado.",T30,Org,fn,Nao definido,0.5,PARTIAL
amalia,participants,lusa_104,cls,"['polícia', 'judiciária']",de,Org,A Polícia Judiciária (PJ) de Setúbal,"A Polícia Judiciária (PJ) de Setúbal deteve um homem de 63 anos suspeito de ter baleado um jovem, na passada quarta-feira, no restaurante de uma coletividade de Setúbal, foi hoje anunciado.",T30,Org,fn,Preposições e Contrações,0.5,PARTIAL
amalia,participants,lusa_104,cls,"['polícia', 'judiciária']",setúbal,Org,A Polícia Judiciária (PJ) de Setúbal,"A Polícia Judiciária (PJ) de Setúbal deteve um homem de 63 anos suspeito de ter baleado um jovem, na passada quarta-feira, no restaurante de uma coletividade de Setúbal, foi hoje anunciado.",T30,Org,fn,Nao definido,0.5,PARTIAL
amalia,participants,lusa_104,cls,['coletividade'],a,Loc,a coletividade,"A Polícia Judiciária (PJ) de Setúbal deteve um homem de 63 anos suspeito de ter baleado um jovem, na passada quarta-feira, no restaurante de uma coletividade de Setúbal, foi hoje anunciado.",T34,Org,fn,Artigos,0.6666666666666666,PARTIAL
amalia,participants,lusa_104,cls,['coletividade'],coletividade,Loc,a coletividade,"A Polícia Judiciária (PJ) de Setúbal deteve um homem de 63 anos suspeito de ter baleado um jovem, na passada quarta-feira, no restaurante de uma coletividade de Setúbal, foi hoje anunciado.",T34,Org,tp,Nao definido,0.6666666666666666,PARTIAL
amalia,participants,lusa_104,cls,['homem'],homem,Per,homem,PJ detém homem suspeito de balear jovem em coletividade de Setúbal,T36,Per,tp,Substantivos Genéricos (Atores),1.0,EXACT
amalia,participants,lusa_104,cls,"['homicídio', 'qualificado']",homicídio,Other,,,,,fp,Nao definido,0.0,MISS
amalia,participants,lusa_104,cls,"['homicídio', 'qualificado']",qualificado,Other,,,,,fp,Nao definido,0.0,MISS
amalia,participants,lusa_104,cls,"['omissão', 'de', 'auxílio']",omissão,Other,,,,,fp,Nao definido,0.0,MISS
amalia,participants,lusa_104,cls,"['omissão', 'de', 'auxílio']",de,Other,,,,,fp,Preposições e Contrações,0.0,MISS
amalia,participants,lusa_104,cls,"['omissão', 'de', 'auxílio']",auxílio,Other,,,,,fp,Nao definido,0.0,MISS
amalia,participants,lusa_104,cls,"['alto', 'da', 'guerra']",o,Loc,o Alto da Guerra,"Segundo um comunicado da PJ, o presumível agressor terá disparado sobre a vítima na sequência de um conflito com um grupo de convivas que se encontrava a almoçar na coletividade, no Alto da Guerra.",T47,Loc,fn,Artigos,0.8571428571428571,PARTIAL
amalia,participants,lusa_104,cls,"['alto', 'da', 'guerra']",alto,Loc,o Alto da Guerra,"Segundo um comunicado da PJ, o presumível agressor terá disparado sobre a vítima na sequência de um conflito com um grupo de convivas que se encontrava a almoçar na coletividade, no Alto da Guerra.",T47,Loc,tp,Nao definido,0.8571428571428571,PARTIAL
amalia,participants,lusa_104,cls,"['alto', 'da', 'guerra']",da,Loc,o Alto da Guerra,"Segundo um comunicado da PJ, o presumível agressor terá disparado sobre a vítima na sequência de um conflito com um grupo de convivas que se encontrava a almoçar na coletividade, no Alto da Guerra.",T47,Loc,tp,Preposições e Contrações,0.8571428571428571,PARTIAL
amalia,participants,lusa_104,cls,"['alto', 'da', 'guerra']",guerra,Loc,o Alto da Guerra,"Segundo um comunicado da PJ, o presumível agressor terá disparado sobre a vítima na sequência de um conflito com um grupo de convivas que se encontrava a almoçar na coletividade, no Alto da Guerra.",T47,Loc,tp,Nao definido,0.8571428571428571,PARTIAL
