["Encontrado corpo de homem", "Person"]
["Autoridade Marítima", "Organization"]
["Comando-Local da Polícia Marítima de Angra do Heroísmo", "Organization"]
["Polícia de Segurança Pública", "Organization"]
["Bombeiros Voluntários da Praia da Vitória", "Organization"]
["Hospital de Angra do Heroísmo", "Facility"]
[" costa da Terceira", "Location"]
["zona rochosa", "Location"]
["costa leste da Terceira", "Location"]
["Açores", "Location"]
["Angra do Heroísmo", "Location"]
["Lisboa", "Location"]
["Praia da Vitória", "Location"]<|eot_id|>
