modelo,entity,doc_id,template,token,pred_type,annt_type,result,f1_r_score
qwen3_14b,participants,lusa_1,cls_exp_temp0.3_nodelim_norole_nocot,militares,Per,Per,tp,
qwen3_14b,participants,lusa_1,cls_exp_temp0.3_nodelim_norole_nocot,Os militares,Per,Per,tp,
qwen3_14b,participants,lusa_1,cls_exp_temp0.3_nodelim_norole_nocot,um auto de contraordenação,Obj,Obj,tp,
qwen3_14b,participants,lusa_1,cls_exp_temp0.3_nodelim_norole_nocot,Corotelo,Loc,Pl_civil,tp,
qwen3_14b,participants,lusa_1,cls_exp_temp0.3_nodelim_norole_nocot,estabelecimento de bebidas,Fac,Fac,tp,
qwen3_14b,participants,lusa_1,cls_exp_temp0.3_nodelim_norole_nocot,concelho de São Brás de Alportel,Loc,Pl_civil,tp,
qwen3_14b,participants,lusa_1,cls_exp_temp0.3_nodelim_norole_nocot,GNR,Org,Org,tp,
qwen3_14b,participants,lusa_1,cls_exp_temp0.3_nodelim_norole_nocot,o proprietário,Per,Per,tp,
qwen3_14b,participants,lusa_1,cls_exp_temp0.3_nodelim_norole_nocot,A GNR,Org,Org,tp,
qwen3_14b,participants,lusa_1,cls_exp_temp0.3_nodelim_norole_nocot,as pessoas,Per,Per,tp,
qwen3_14b,participants,lusa_1,cls_exp_temp0.3_nodelim_norole_nocot,Comando Territorial de Faro da GNR,Org,,fp,
qwen3_14b,participants,lusa_1,cls_exp_temp0.3_nodelim_norole_nocot,São Brás de Alportel,Loc,,fp,
qwen3_14b,participants,lusa_1,cls_exp_temp0.3_nodelim_norole_nocot,um bar,Fac,,fp,
qwen3_14b,participants,lusa_1,cls_exp_temp0.3_nodelim_norole_nocot,a nota,Obj,,fp,
qwen3_14b,participants,lusa_1,cls_exp_temp0.3_nodelim_norole_nocot,50 pessoas,Per,,fp,
qwen3_14b,participants,lusa_1,cls_exp_temp0.3_nodelim_norole_nocot,Posto Territorial de São de Alportel,Fac,,fp,
qwen3_14b,participants,lusa_1,cls_exp_temp0.3_nodelim_norole_nocot,o Posto Territorial,,Fac,fn,
qwen3_14b,participants,lusa_1,cls_exp_temp0.3_nodelim_norole_nocot,nota,,Obj,fn,
qwen3_14b,participants,lusa_1,cls_exp_temp0.3_nodelim_norole_nocot,São de Alportel,,Pl_civil,fn,
qwen3_14b,participants,lusa_1,cls_exp_temp0.3_nodelim_norole_nocot,música ao vivo,,Other,fn,
qwen3_14b,participants,lusa_1,cls_exp_temp0.3_nodelim_norole_nocot,o Posto Territorial de São de Alportel,,Org,fn,
qwen3_14b,participants,lusa_1,cls_exp_temp0.3_nodelim_norole_nocot,comunicado,,Obj,fn,
qwen3_14b,participants,lusa_1,cls_exp_temp0.3_nodelim_norole_nocot,cerca de 50 pessoas,,Per,fn,
qwen3_14b,participants,lusa_1,cls_exp_temp0.3_nodelim_norole_nocot,o Comando Territorial,,Org,fn,
qwen3_14b,participants,lusa_1,cls_exp_temp0.3_nodelim_norole_nocot,normas referentes à pandemia de covid-19,,Other,fn,
qwen3_14b,participants,lusa_1,cls_exp_temp0.3_nodelim_norole_nocot,bar,,Fac,fn,
qwen3_14b,participants,lusa_1,cls_exp_temp0.3_nodelim_norole_nocot,local,,Loc,fn,
qwen3_14b,participants,lusa_1,cls_exp_temp0.3_nodelim_norole_nocot,Faro,,Pl_civil,fn,
qwen3_14b,participants,lusa_10,cls_exp_temp0.3_nodelim_norole_nocot,Nova Iorque,Loc,Pl_civil,tp,
qwen3_14b,participants,lusa_10,cls_exp_temp0.3_nodelim_norole_nocot,Manhattan,Loc,Pl_civil,tp,
qwen3_14b,participants,lusa_10,cls_exp_temp0.3_nodelim_norole_nocot,AFP,Org,Org,tp,
qwen3_14b,participants,lusa_10,cls_exp_temp0.3_nodelim_norole_nocot,NYPD,Org,Org,tp,
qwen3_14b,participants,lusa_10,cls_exp_temp0.3_nodelim_norole_nocot,a mesma fonte,Per,Org,tp,
qwen3_14b,participants,lusa_10,cls_exp_temp0.3_nodelim_norole_nocot,O condutor do automóvel,Per,Per,tp,
qwen3_14b,participants,lusa_10,cls_exp_temp0.3_nodelim_norole_nocot,agência France-Presse,Org,Org,tp,
qwen3_14b,participants,lusa_10,cls_exp_temp0.3_nodelim_norole_nocot,várias pessoas,Per,Per,tp,
qwen3_14b,participants,lusa_10,cls_exp_temp0.3_nodelim_norole_nocot,Big Apple,Loc,,fp,
qwen3_14b,participants,lusa_10,cls_exp_temp0.3_nodelim_norole_nocot,feridos,Per,,fp,
qwen3_14b,participants,lusa_10,cls_exp_temp0.3_nodelim_norole_nocot,hospitais,Fac,,fp,
qwen3_14b,participants,lusa_10,cls_exp_temp0.3_nodelim_norole_nocot,polícia de Nova Iorque,Org,,fp,
qwen3_14b,participants,lusa_10,cls_exp_temp0.3_nodelim_norole_nocot,"manifestação ""Black Lives Matter""",Other,,fp,
qwen3_14b,participants,lusa_10,cls_exp_temp0.3_nodelim_norole_nocot,Automóvel,Obj,,fp,
qwen3_14b,participants,lusa_10,cls_exp_temp0.3_nodelim_norole_nocot,ambulâncias,,Obj,fn,
qwen3_14b,participants,lusa_10,cls_exp_temp0.3_nodelim_norole_nocot,Um automobilista,,Per,fn,
qwen3_14b,participants,lusa_10,cls_exp_temp0.3_nodelim_norole_nocot,o movimento “Black Lives Matter” (“As Vidas Negras Importam”),,Org,fn,
qwen3_14b,participants,lusa_10,cls_exp_temp0.3_nodelim_norole_nocot,O porta-voz,,Per,fn,
qwen3_14b,participants,lusa_10,cls_exp_temp0.3_nodelim_norole_nocot,a polícia de Nova Iorque,,Org,fn,
qwen3_14b,participants,lusa_10,cls_exp_temp0.3_nodelim_norole_nocot,os quais,,Per,fn,
qwen3_14b,participants,lusa_10,cls_exp_temp0.3_nodelim_norole_nocot,a polícia,,Org,fn,
qwen3_14b,participants,lusa_10,cls_exp_temp0.3_nodelim_norole_nocot,vários feridos,,Per,fn,
qwen3_14b,participants,lusa_10,cls_exp_temp0.3_nodelim_norole_nocot,a 'Big Apple',,Pl_civil,fn,
qwen3_14b,participants,lusa_10,cls_exp_temp0.3_nodelim_norole_nocot,Várias corporações de bombeiros,,Org,fn,
qwen3_14b,participants,lusa_10,cls_exp_temp0.3_nodelim_norole_nocot,o local,,Pl_civil,fn,
qwen3_14b,participants,lusa_10,cls_exp_temp0.3_nodelim_norole_nocot,alguns,,Per,fn,
qwen3_14b,participants,lusa_10,cls_exp_temp0.3_nodelim_norole_nocot,mortos,,Per,fn,
qwen3_14b,participants,lusa_10,cls_exp_temp0.3_nodelim_norole_nocot,as autoridades,,Org,fn,
qwen3_14b,participants,lusa_10,cls_exp_temp0.3_nodelim_norole_nocot,Lisboa,,Pl_capital,fn,
qwen3_14b,participants,lusa_10,cls_exp_temp0.3_nodelim_norole_nocot,vários hospitais,,Fac,fn,
qwen3_14b,participants,lusa_10,cls_exp_temp0.3_nodelim_norole_nocot,os Estados Unidos,,Pl_country,fn,
qwen3_14b,participants,lusa_101,cls_exp_temp0.3_nodelim_norole_nocot,a prova documental e testemunhal,Obj,Other,tp,
qwen3_14b,participants,lusa_101,cls_exp_temp0.3_nodelim_norole_nocot,A magistrada,Per,Per,tp,
qwen3_14b,participants,lusa_101,cls_exp_temp0.3_nodelim_norole_nocot,outro,Per,Per,tp,
qwen3_14b,participants,lusa_101,cls_exp_temp0.3_nodelim_norole_nocot,O Tribunal de Viana do Castelo,Org,Org,tp,
qwen3_14b,participants,lusa_101,cls_exp_temp0.3_nodelim_norole_nocot,O coletivo,Org,Per,tp,
qwen3_14b,participants,lusa_101,cls_exp_temp0.3_nodelim_norole_nocot,homem,Per,Per,tp,
qwen3_14b,participants,lusa_101,cls_exp_temp0.3_nodelim_norole_nocot,a arma do crime,Obj,Obj,tp,
qwen3_14b,participants,lusa_101,cls_exp_temp0.3_nodelim_norole_nocot,o arguido,Per,Per,tp,
qwen3_14b,participants,lusa_101,cls_exp_temp0.3_nodelim_norole_nocot,um homem de 36 anos,Per,Per,tp,
qwen3_14b,participants,lusa_101,cls_exp_temp0.3_nodelim_norole_nocot,a juiz presidente,Per,Per,tp,
qwen3_14b,participants,lusa_101,cls_exp_temp0.3_nodelim_norole_nocot,Tribunal de Viana do Castelo,Org,Org,tp,
qwen3_14b,participants,lusa_101,cls_exp_temp0.3_nodelim_norole_nocot,O homem,Per,Per,tp,
qwen3_14b,participants,lusa_101,cls_exp_temp0.3_nodelim_norole_nocot,o homem,Per,Per,tp,
qwen3_14b,participants,lusa_101,cls_exp_temp0.3_nodelim_norole_nocot,a juiz presidente do coletivo,Per,,fp,
qwen3_14b,participants,lusa_101,cls_exp_temp0.3_nodelim_norole_nocot,a cidade,Loc,,fp,
qwen3_14b,participants,lusa_101,cls_exp_temp0.3_nodelim_norole_nocot,a mãe da vítima mortal,Per,,fp,
qwen3_14b,participants,lusa_101,cls_exp_temp0.3_nodelim_norole_nocot,Viana do Castelo,Loc,,fp,
qwen3_14b,participants,lusa_101,cls_exp_temp0.3_nodelim_norole_nocot,o julgamento,Obj,,fp,
qwen3_14b,participants,lusa_101,cls_exp_temp0.3_nodelim_norole_nocot,2013,Other,,fp,
qwen3_14b,participants,lusa_101,cls_exp_temp0.3_nodelim_norole_nocot,a vítima mortal,Per,,fp,
qwen3_14b,participants,lusa_101,cls_exp_temp0.3_nodelim_norole_nocot,à mãe,,Per,fn,
qwen3_14b,participants,lusa_101,cls_exp_temp0.3_nodelim_norole_nocot,que,,Per,fn,
qwen3_14b,participants,lusa_101,cls_exp_temp0.3_nodelim_norole_nocot,no valor total,,Other,fn,
qwen3_14b,participants,lusa_101,cls_exp_temp0.3_nodelim_norole_nocot,da vítima mortal,,Per,fn,
qwen3_14b,participants,lusa_101,cls_exp_temp0.3_nodelim_norole_nocot,do coletivo,,Per,fn,
qwen3_14b,participants,lusa_101,cls_exp_temp0.3_nodelim_norole_nocot,na cidade,,Loc,fn,
qwen3_14b,participants,lusa_101,cls_exp_temp0.3_nodelim_norole_nocot,do acórdão,,Obj,fn,
qwen3_14b,participants,lusa_101,cls_exp_temp0.3_nodelim_norole_nocot,de 141 mil euros,,Obj,fn,
qwen3_14b,participants,lusa_101,cls_exp_temp0.3_nodelim_norole_nocot,na sala de audiências,,Loc,fn,
qwen3_14b,participants,lusa_102,cls_exp_temp0.3_nodelim_norole_nocot,Homem,Per,Per,tp,
qwen3_14b,participants,lusa_102,cls_exp_temp0.3_nodelim_norole_nocot,Um homem de 68 anos,Per,Per,tp,
qwen3_14b,participants,lusa_102,cls_exp_temp0.3_nodelim_norole_nocot,O cidadão de 68 anos,Per,Per,tp,
qwen3_14b,participants,lusa_102,cls_exp_temp0.3_nodelim_norole_nocot,outro transeunte,Per,Per,tp,
qwen3_14b,participants,lusa_102,cls_exp_temp0.3_nodelim_norole_nocot,o Hospital de São José,Fac,Loc,tp,
qwen3_14b,participants,lusa_102,cls_exp_temp0.3_nodelim_norole_nocot,uma ambulância,Obj,Obj,tp,
qwen3_14b,participants,lusa_102,cls_exp_temp0.3_nodelim_norole_nocot,outro indivíduo,Per,Per,tp,
qwen3_14b,participants,lusa_102,cls_exp_temp0.3_nodelim_norole_nocot,o homem,Per,Per,tp,
qwen3_14b,participants,lusa_102,cls_exp_temp0.3_nodelim_norole_nocot,à Lusa,Org,Org,tp,
qwen3_14b,participants,lusa_102,cls_exp_temp0.3_nodelim_norole_nocot,Rio Tejo,Nature,,fp,
qwen3_14b,participants,lusa_102,cls_exp_temp0.3_nodelim_norole_nocot,Hospital de São José,Fac,,fp,
qwen3_14b,participants,lusa_102,cls_exp_temp0.3_nodelim_norole_nocot,nas imediações,Loc,,fp,
qwen3_14b,participants,lusa_102,cls_exp_temp0.3_nodelim_norole_nocot,Cais das Colunas,Fac,,fp,
qwen3_14b,participants,lusa_102,cls_exp_temp0.3_nodelim_norole_nocot,o homem em dificuldades,Per,,fp,
qwen3_14b,participants,lusa_102,cls_exp_temp0.3_nodelim_norole_nocot,Instituto Nacional de Emergência Médica (INEM),Org,,fp,
qwen3_14b,participants,lusa_102,cls_exp_temp0.3_nodelim_norole_nocot,Fonte oficial da Polícia Marítima,Org,,fp,
qwen3_14b,participants,lusa_102,cls_exp_temp0.3_nodelim_norole_nocot,Lisboa,Loc,,fp,
qwen3_14b,participants,lusa_102,cls_exp_temp0.3_nodelim_norole_nocot,a Polícia Marítima,,Org,fn,
qwen3_14b,participants,lusa_102,cls_exp_temp0.3_nodelim_norole_nocot,o Rio Tejo,,Loc,fn,
qwen3_14b,participants,lusa_102,cls_exp_temp0.3_nodelim_norole_nocot,o Cais das Colunas,,Loc,fn,
qwen3_14b,participants,lusa_102,cls_exp_temp0.3_nodelim_norole_nocot,Fonte oficial,,Per,fn,
qwen3_14b,participants,lusa_102,cls_exp_temp0.3_nodelim_norole_nocot,que,,Per,fn,
qwen3_14b,participants,lusa_102,cls_exp_temp0.3_nodelim_norole_nocot,onde,,Loc,fn,
qwen3_14b,participants,lusa_102,cls_exp_temp0.3_nodelim_norole_nocot,o local,,Loc,fn,
qwen3_14b,participants,lusa_102,cls_exp_temp0.3_nodelim_norole_nocot,as imediações,,Loc,fn,
qwen3_14b,participants,lusa_102,cls_exp_temp0.3_nodelim_norole_nocot,à água,,Nat,fn,
qwen3_14b,participants,lusa_102,cls_exp_temp0.3_nodelim_norole_nocot,em Lisboa,,Loc,fn,
qwen3_14b,participants,lusa_102,cls_exp_temp0.3_nodelim_norole_nocot,o Instituto Nacional de Emergência Médica (INEM),,Org,fn,
qwen3_14b,participants,lusa_103,cls_exp_temp0.3_nodelim_norole_nocot,uma pessoa,Per,Per,tp,
qwen3_14b,participants,lusa_103,cls_exp_temp0.3_nodelim_norole_nocot,A Polícia Judiciária,Org,Org,tp,
qwen3_14b,participants,lusa_103,cls_exp_temp0.3_nodelim_norole_nocot,homem de 60 anos,Per,Per,tp,
qwen3_14b,participants,lusa_103,cls_exp_temp0.3_nodelim_norole_nocot,os primeiros meios de socorro,Obj,Org,tp,
qwen3_14b,participants,lusa_103,cls_exp_temp0.3_nodelim_norole_nocot,um homem de cerca de 60 anos,Per,Per,tp,
qwen3_14b,participants,lusa_103,cls_exp_temp0.3_nodelim_norole_nocot,Fonte,Per,Per,tp,
qwen3_14b,participants,lusa_103,cls_exp_temp0.3_nodelim_norole_nocot,Celorico de Basto,Loc,Loc,tp,
qwen3_14b,participants,lusa_103,cls_exp_temp0.3_nodelim_norole_nocot,O homem,Per,Per,tp,
qwen3_14b,participants,lusa_103,cls_exp_temp0.3_nodelim_norole_nocot,PJ,Org,Org,tp,
qwen3_14b,participants,lusa_103,cls_exp_temp0.3_nodelim_norole_nocot,a Cruz Vermelha local,Org,Org,tp,
qwen3_14b,participants,lusa_103,cls_exp_temp0.3_nodelim_norole_nocot,Braga,Pl_capital,,fp,
qwen3_14b,participants,lusa_103,cls_exp_temp0.3_nodelim_norole_nocot,Lusa,Org,,fp,
qwen3_14b,participants,lusa_103,cls_exp_temp0.3_nodelim_norole_nocot,a pessoa,Per,,fp,
qwen3_14b,participants,lusa_103,cls_exp_temp0.3_nodelim_norole_nocot,fonte daquela polícia,Per,,fp,
qwen3_14b,participants,lusa_103,cls_exp_temp0.3_nodelim_norole_nocot,Instituto Nacional de Emergência Médica (INEM),Org,,fp,
qwen3_14b,participants,lusa_103,cls_exp_temp0.3_nodelim_norole_nocot,Gandarela,Loc,,fp,
qwen3_14b,participants,lusa_103,cls_exp_temp0.3_nodelim_norole_nocot,via pública,Loc,,fp,
qwen3_14b,participants,lusa_103,cls_exp_temp0.3_nodelim_norole_nocot,a morgue de Guimarães,,Loc,fn,
qwen3_14b,participants,lusa_103,cls_exp_temp0.3_nodelim_norole_nocot,aquela polícia,,Org,fn,
qwen3_14b,participants,lusa_103,cls_exp_temp0.3_nodelim_norole_nocot,o distrito de Braga,,Loc,fn,
qwen3_14b,participants,lusa_103,cls_exp_temp0.3_nodelim_norole_nocot,a via pública,,Loc,fn,
qwen3_14b,participants,lusa_103,cls_exp_temp0.3_nodelim_norole_nocot,o corpo,,Other,fn,
qwen3_14b,participants,lusa_103,cls_exp_temp0.3_nodelim_norole_nocot,em Gandarela,,Loc,fn,
qwen3_14b,participants,lusa_103,cls_exp_temp0.3_nodelim_norole_nocot,o local,,Loc,fn,
qwen3_14b,participants,lusa_103,cls_exp_temp0.3_nodelim_norole_nocot,a Gandarela,,Loc,fn,
qwen3_14b,participants,lusa_103,cls_exp_temp0.3_nodelim_norole_nocot,em Celorico de Basto,,Loc,fn,
qwen3_14b,participants,lusa_103,cls_exp_temp0.3_nodelim_norole_nocot,no,,Per,fn,
qwen3_14b,participants,lusa_103,cls_exp_temp0.3_nodelim_norole_nocot,o concelho de Celorico de Basto,,Loc,fn,
qwen3_14b,participants,lusa_103,cls_exp_temp0.3_nodelim_norole_nocot,fonte,,Per,fn,
qwen3_14b,participants,lusa_103,cls_exp_temp0.3_nodelim_norole_nocot,o Instituto Nacional de Emergência Médica (INEM),,Org,fn,
qwen3_14b,participants,lusa_103,cls_exp_temp0.3_nodelim_norole_nocot,à Lusa,,Org,fn,
qwen3_14b,participants,lusa_105,cls_exp_temp0.3_nodelim_norole_nocot,Homem,Per,Per,tp,
qwen3_14b,participants,lusa_105,cls_exp_temp0.3_nodelim_norole_nocot,distrito do Porto,Pl_admin,Loc,tp,
qwen3_14b,participants,lusa_105,cls_exp_temp0.3_nodelim_norole_nocot,a Polícia Judiciária,Org,Org,tp,
qwen3_14b,participants,lusa_105,cls_exp_temp0.3_nodelim_norole_nocot,Um homem de 31 anos,Per,Per,tp,
qwen3_14b,participants,lusa_105,cls_exp_temp0.3_nodelim_norole_nocot,um ferido ligeiro,Per,Per,tp,
qwen3_14b,participants,lusa_105,cls_exp_temp0.3_nodelim_norole_nocot,fonte policial,Per,Per,tp,
qwen3_14b,participants,lusa_105,cls_exp_temp0.3_nodelim_norole_nocot,Vila de Gaia,Pl_city,Loc,tp,
qwen3_14b,participants,lusa_105,cls_exp_temp0.3_nodelim_norole_nocot,Gulpilhares,Loc,Loc,tp,
qwen3_14b,participants,lusa_105,cls_exp_temp0.3_nodelim_norole_nocot,Vila Nova de Gaia,Loc,Loc,tp,
qwen3_14b,participants,lusa_105,cls_exp_temp0.3_nodelim_norole_nocot,o braço esquerdo,Obj,Other,tp,
qwen3_14b,participants,lusa_105,cls_exp_temp0.3_nodelim_norole_nocot,autor do disparo,Per,,fp,
qwen3_14b,participants,lusa_105,cls_exp_temp0.3_nodelim_norole_nocot,bombeiros de Valadares,Org,,fp,
qwen3_14b,participants,lusa_105,cls_exp_temp0.3_nodelim_norole_nocot,daquele órgão de polícia criminal,Org,,fp,
qwen3_14b,participants,lusa_105,cls_exp_temp0.3_nodelim_norole_nocot,fonte desta corporação,Per,,fp,
qwen3_14b,participants,lusa_105,cls_exp_temp0.3_nodelim_norole_nocot,autoridades,Org,,fp,
qwen3_14b,participants,lusa_105,cls_exp_temp0.3_nodelim_norole_nocot,hospital Santos Silva,Fac,,fp,
qwen3_14b,participants,lusa_105,cls_exp_temp0.3_nodelim_norole_nocot,a vítima,Per,,fp,
qwen3_14b,participants,lusa_105,cls_exp_temp0.3_nodelim_norole_nocot,o autor do disparo,Per,,fp,
qwen3_14b,participants,lusa_105,cls_exp_temp0.3_nodelim_norole_nocot,às autoridades,,Org,fn,
qwen3_14b,participants,lusa_105,cls_exp_temp0.3_nodelim_norole_nocot,os bombeiros de Valadares,,Org,fn,
qwen3_14b,participants,lusa_105,cls_exp_temp0.3_nodelim_norole_nocot,o hospital Santos Silva,,Loc,fn,
qwen3_14b,participants,lusa_105,cls_exp_temp0.3_nodelim_norole_nocot,o autor,,Per,fn,
qwen3_14b,participants,lusa_105,cls_exp_temp0.3_nodelim_norole_nocot,polícia criminal,,Org,fn,
qwen3_14b,participants,lusa_105,cls_exp_temp0.3_nodelim_norole_nocot,As razões,,Other,fn,
qwen3_14b,participants,lusa_105,cls_exp_temp0.3_nodelim_norole_nocot,aquele órgão,,Org,fn,
qwen3_14b,participants,lusa_105,cls_exp_temp0.3_nodelim_norole_nocot,autor,,Per,fn,
qwen3_14b,participants,lusa_105,cls_exp_temp0.3_nodelim_norole_nocot,fonte,,Per,fn,
qwen3_14b,participants,lusa_105,cls_exp_temp0.3_nodelim_norole_nocot,esta corporação,,Org,fn,
qwen3_14b,participants,lusa_105,cls_exp_temp0.3_nodelim_norole_nocot,A vítima,,Per,fn,
qwen3_14b,participants,lusa_106,cls_exp_temp0.3_nodelim_norole_nocot,o município,Loc,Org,tp,
qwen3_14b,participants,lusa_106,cls_exp_temp0.3_nodelim_norole_nocot,A estrutura,Obj,Obj,tp,
qwen3_14b,participants,lusa_106,cls_exp_temp0.3_nodelim_norole_nocot,o poste de iluminação,Obj,Obj,tp,
qwen3_14b,participants,lusa_106,cls_exp_temp0.3_nodelim_norole_nocot,umas bombas de gasolina,Obj,Fac,tp,
qwen3_14b,participants,lusa_106,cls_exp_temp0.3_nodelim_norole_nocot,um poste de eletricidade,Obj,Obj,tp,
qwen3_14b,participants,lusa_106,cls_exp_temp0.3_nodelim_norole_nocot,a Câmara do Porto,Org,Org,tp,
qwen3_14b,participants,lusa_106,cls_exp_temp0.3_nodelim_norole_nocot,um camião,Obj,Veh,tp,
qwen3_14b,participants,lusa_106,cls_exp_temp0.3_nodelim_norole_nocot,a rua,Loc,Pl_civil,tp,
qwen3_14b,participants,lusa_106,cls_exp_temp0.3_nodelim_norole_nocot,A vítima,Per,Per,tp,
qwen3_14b,participants,lusa_106,cls_exp_temp0.3_nodelim_norole_nocot,o funcionário,Per,Per,tp,
qwen3_14b,participants,lusa_106,cls_exp_temp0.3_nodelim_norole_nocot,um outro,Per,Per,tp,
qwen3_14b,participants,lusa_106,cls_exp_temp0.3_nodelim_norole_nocot,um veículo,Obj,Veh,tp,
qwen3_14b,participants,lusa_106,cls_exp_temp0.3_nodelim_norole_nocot,as autoridades,Org,Org,tp,
qwen3_14b,participants,lusa_106,cls_exp_temp0.3_nodelim_norole_nocot,o homem,Per,Per,tp,
qwen3_14b,participants,lusa_106,cls_exp_temp0.3_nodelim_norole_nocot,à Lusa,Org,Org,tp,
qwen3_14b,participants,lusa_106,cls_exp_temp0.3_nodelim_norole_nocot,fonte da PSP,Per,,fp,
qwen3_14b,participants,lusa_106,cls_exp_temp0.3_nodelim_norole_nocot,Empresa Municipal de Ambiente do Porto,Org,,fp,
qwen3_14b,participants,lusa_106,cls_exp_temp0.3_nodelim_norole_nocot,a empresa,Org,,fp,
qwen3_14b,participants,lusa_106,cls_exp_temp0.3_nodelim_norole_nocot,Comando Metropolitano da PSP do Porto,Org,,fp,
qwen3_14b,participants,lusa_106,cls_exp_temp0.3_nodelim_norole_nocot,o acidente,Other,,fp,
qwen3_14b,participants,lusa_106,cls_exp_temp0.3_nodelim_norole_nocot,Rua da Constituição,Loc,,fp,
qwen3_14b,participants,lusa_106,cls_exp_temp0.3_nodelim_norole_nocot,a fonte das Relações Públicas do Comando Metropolitano da PSP do Porto,Per,,fp,
qwen3_14b,participants,lusa_106,cls_exp_temp0.3_nodelim_norole_nocot,Porto,Pl_civil,,fp,
qwen3_14b,participants,lusa_106,cls_exp_temp0.3_nodelim_norole_nocot,homem de 52 anos,Per,,fp,
qwen3_14b,participants,lusa_106,cls_exp_temp0.3_nodelim_norole_nocot,a sua família,Other,,fp,
qwen3_14b,participants,lusa_106,cls_exp_temp0.3_nodelim_norole_nocot,Hospital de Santo António,Fac,,fp,
qwen3_14b,participants,lusa_106,cls_exp_temp0.3_nodelim_norole_nocot,a grua do camião,Obj,,fp,
qwen3_14b,participants,lusa_106,cls_exp_temp0.3_nodelim_norole_nocot,PSP do Porto,Org,,fp,
qwen3_14b,participants,lusa_106,cls_exp_temp0.3_nodelim_norole_nocot,Um homem,Per,,fp,
qwen3_14b,participants,lusa_106,cls_exp_temp0.3_nodelim_norole_nocot,poste de iluminação,Obj,,fp,
qwen3_14b,participants,lusa_106,cls_exp_temp0.3_nodelim_norole_nocot,Grua de camião,Obj,,fp,
qwen3_14b,participants,lusa_106,cls_exp_temp0.3_nodelim_norole_nocot,Um homem de 52 anos,,Per,fn,
qwen3_14b,participants,lusa_106,cls_exp_temp0.3_nodelim_norole_nocot,a fonte,,Per,fn,
