model,language,entity,template,variation,doc_id,sentence_id,stage,item,label,confidence
qwen3_14b,english,participants,sent_def_exp,temp0.3_nodelim_norole_nocot,lusa_1,1,detection,,yes,0.95
qwen3_14b,english,participants,ext_def_exp,temp0.3_nodelim_norole_nocot,lusa_1,1,extraction,GNR,,0.9
qwen3_14b,english,participants,ext_def_exp,temp0.3_nodelim_norole_nocot,lusa_1,1,extraction,bar,,0.8
qwen3_14b,english,participants,ext_def_exp,temp0.3_nodelim_norole_nocot,lusa_1,1,extraction,Corotelo,,0.9
qwen3_14b,english,participants,ext_def_exp,temp0.3_nodelim_norole_nocot,lusa_1,1,extraction,São Brás de Alportel,,0.9
qwen3_14b,english,participants,ext_def_exp,temp0.3_nodelim_norole_nocot,lusa_1,1,extraction,50 people,,0.8
qwen3_14b,english,participants,cls_def_exp,temp0.3_nodelim_norole_nocot,lusa_1,1,classification,GNR,Org,0.95
qwen3_14b,english,participants,cls_def_exp,temp0.3_nodelim_norole_nocot,lusa_1,1,classification,bar,Fac,0.9
qwen3_14b,english,participants,cls_def_exp,temp0.3_nodelim_norole_nocot,lusa_1,1,classification,Corotelo,Pl_civil,0.85
qwen3_14b,english,participants,cls_def_exp,temp0.3_nodelim_norole_nocot,lusa_1,1,classification,São Brás de Alportel,Pl_civil,0.9
qwen3_14b,english,participants,cls_def_exp,temp0.3_nodelim_norole_nocot,lusa_1,1,classification,50 people,Per,0.85
qwen3_14b,english,participants,sent_def_exp,temp0.3_nodelim_norole_nocot,lusa_1,2,detection,,yes,0.95
qwen3_14b,english,participants,ext_def_exp,temp0.3_nodelim_norole_nocot,lusa_1,2,extraction,Faro Territorial Command of the GNR,,0.95
qwen3_14b,english,participants,ext_def_exp,temp0.3_nodelim_norole_nocot,lusa_1,2,extraction,GNR,,0.8
qwen3_14b,english,participants,ext_def_exp,temp0.3_nodelim_norole_nocot,lusa_1,2,extraction,São de Alportel Territorial Post,,0.9
qwen3_14b,english,participants,ext_def_exp,temp0.3_nodelim_norole_nocot,lusa_1,2,extraction,soldiers,,0.7
qwen3_14b,english,participants,ext_def_exp,temp0.3_nodelim_norole_nocot,lusa_1,2,extraction,drinking establishment,,0.8
qwen3_14b,english,participants,cls_def_exp,temp0.3_nodelim_norole_nocot,lusa_1,2,classification,Faro Territorial Command of the GNR,Org,0.95
qwen3_14b,english,participants,cls_def_exp,temp0.3_nodelim_norole_nocot,lusa_1,2,classification,GNR,Org,0.9
qwen3_14b,english,participants,cls_def_exp,temp0.3_nodelim_norole_nocot,lusa_1,2,classification,São de Alportel Territorial Post,Org,0.75
qwen3_14b,english,participants,cls_def_exp,temp0.3_nodelim_norole_nocot,lusa_1,2,classification,soldiers,Per,0.95
qwen3_14b,english,participants,cls_def_exp,temp0.3_nodelim_norole_nocot,lusa_1,2,classification,drinking establishment,Fac,0.85
qwen3_14b,english,participants,sent_def_exp,temp0.3_nodelim_norole_nocot,lusa_1,3,detection,,yes,0.95
qwen3_14b,english,participants,ext_def_exp,temp0.3_nodelim_norole_nocot,lusa_1,3,extraction,the military,,0.95
qwen3_14b,english,participants,ext_def_exp,temp0.3_nodelim_norole_nocot,lusa_1,3,extraction,people,,0.9
qwen3_14b,english,participants,ext_def_exp,temp0.3_nodelim_norole_nocot,lusa_1,3,extraction,covid-19 pandemic,,0.7
qwen3_14b,english,participants,cls_def_exp,temp0.3_nodelim_norole_nocot,lusa_1,3,classification,the military,Org,0.95
qwen3_14b,english,participants,cls_def_exp,temp0.3_nodelim_norole_nocot,lusa_1,3,classification,people,Per,0.95
qwen3_14b,english,participants,cls_def_exp,temp0.3_nodelim_norole_nocot,lusa_1,3,classification,covid-19 pandemic,Other,0.85
qwen3_14b,english,participants,sent_def_exp,temp0.3_nodelim_norole_nocot,lusa_1,4,detection,,yes,0.95
qwen3_14b,english,participants,ext_def_exp,temp0.3_nodelim_norole_nocot,lusa_1,4,extraction,note,,0.9
qwen3_14b,english,participants,ext_def_exp,temp0.3_nodelim_norole_nocot,lusa_1,4,extraction,owner,,0.9
qwen3_14b,english,participants,ext_def_exp,temp0.3_nodelim_norole_nocot,lusa_1,4,extraction,administrative offense notice,,0.8
qwen3_14b,english,participants,cls_def_exp,temp0.3_nodelim_norole_nocot,lusa_1,4,classification,note,Obj,0.9
qwen3_14b,english,participants,cls_def_exp,temp0.3_nodelim_norole_nocot,lusa_1,4,classification,owner,Per,0.95
qwen3_14b,english,participants,cls_def_exp,temp0.3_nodelim_norole_nocot,lusa_1,4,classification,administrative offense notice,Obj,0.85
qwen3_14b,english,participants,sent_def_exp,temp0.3_nodelim_norole_nocot,lusa_101,1,detection,,yes,0.95
qwen3_14b,english,participants,ext_def_exp,temp0.3_nodelim_norole_nocot,lusa_101,1,extraction,The Viana do Castelo Court,,0.95
qwen3_14b,english,participants,ext_def_exp,temp0.3_nodelim_norole_nocot,lusa_101,1,extraction,a 36-year-old man,,0.9
qwen3_14b,english,participants,ext_def_exp,temp0.3_nodelim_norole_nocot,lusa_101,1,extraction,another man,,0.9
qwen3_14b,english,participants,cls_def_exp,temp0.3_nodelim_norole_nocot,lusa_101,1,classification,The Viana do Castelo Court,Org,0.95
qwen3_14b,english,participants,cls_def_exp,temp0.3_nodelim_norole_nocot,lusa_101,1,classification,a 36-year-old man,Per,0.95
qwen3_14b,english,participants,cls_def_exp,temp0.3_nodelim_norole_nocot,lusa_101,1,classification,another man,Per,0.95
qwen3_14b,english,participants,sent_def_exp,temp0.3_nodelim_norole_nocot,lusa_101,2,detection,,yes,0.95
qwen3_14b,english,participants,ext_def_exp,temp0.3_nodelim_norole_nocot,lusa_101,2,extraction,The man,,0.9
qwen3_14b,english,participants,ext_def_exp,temp0.3_nodelim_norole_nocot,lusa_101,2,extraction,qualified murder,,0.8
qwen3_14b,english,participants,ext_def_exp,temp0.3_nodelim_norole_nocot,lusa_101,2,extraction,simple murder,,0.8
qwen3_14b,english,participants,ext_def_exp,temp0.3_nodelim_norole_nocot,lusa_101,2,extraction,murder weapon,,0.9
qwen3_14b,english,participants,ext_def_exp,temp0.3_nodelim_norole_nocot,lusa_101,2,extraction,the murder weapon,,0.9
qwen3_14b,english,participants,cls_def_exp,temp0.3_nodelim_norole_nocot,lusa_101,2,classification,The man,Per,0.95
qwen3_14b,english,participants,cls_def_exp,temp0.3_nodelim_norole_nocot,lusa_101,2,classification,qualified murder,Other,0.7
qwen3_14b,english,participants,cls_def_exp,temp0.3_nodelim_norole_nocot,lusa_101,2,classification,simple murder,Other,0.7
qwen3_14b,english,participants,cls_def_exp,temp0.3_nodelim_norole_nocot,lusa_101,2,classification,murder weapon,Obj,0.95
qwen3_14b,english,participants,cls_def_exp,temp0.3_nodelim_norole_nocot,lusa_101,2,classification,the murder weapon,Obj,0.95
qwen3_14b,english,participants,sent_def_exp,temp0.3_nodelim_norole_nocot,lusa_101,3,detection,,yes,0.95
qwen3_14b,english,participants,ext_def_exp,temp0.3_nodelim_norole_nocot,lusa_101,3,extraction,presiding judge of the panel,,0.9
qwen3_14b,english,participants,ext_def_exp,temp0.3_nodelim_norole_nocot,lusa_101,3,extraction,the defendant,,0.9
qwen3_14b,english,participants,ext_def_exp,temp0.3_nodelim_norole_nocot,lusa_101,3,extraction,the courtroom,,0.8
qwen3_14b,english,participants,ext_def_exp,temp0.3_nodelim_norole_nocot,lusa_101,3,extraction,one crime of harm to qualified physical integrity,,0.8
qwen3_14b,english,participants,ext_def_exp,temp0.3_nodelim_norole_nocot,lusa_101,3,extraction,possession of a prohibited weapon,,0.8
qwen3_14b,english,participants,ext_def_exp,temp0.3_nodelim_norole_nocot,lusa_101,3,extraction,pre-trial detention,,0.7
qwen3_14b,english,participants,cls_def_exp,temp0.3_nodelim_norole_nocot,lusa_101,3,classification,presiding judge of the panel,Per,0.95
qwen3_14b,english,participants,cls_def_exp,temp0.3_nodelim_norole_nocot,lusa_101,3,classification,the defendant,Per,0.98
qwen3_14b,english,participants,cls_def_exp,temp0.3_nodelim_norole_nocot,lusa_101,3,classification,the courtroom,Fac,0.9
qwen3_14b,english,participants,cls_def_exp,temp0.3_nodelim_norole_nocot,lusa_101,3,classification,one crime of harm to qualified physical integrity,Other,0.7
qwen3_14b,english,participants,cls_def_exp,temp0.3_nodelim_norole_nocot,lusa_101,3,classification,possession of a prohibited weapon,Other,0.7
qwen3_14b,english,participants,cls_def_exp,temp0.3_nodelim_norole_nocot,lusa_101,3,classification,pre-trial detention,Other,0.8
qwen3_14b,english,participants,sent_def_exp,temp0.3_nodelim_norole_nocot,lusa_101,4,detection,,yes,0.95
qwen3_14b,english,participants,ext_def_exp,temp0.3_nodelim_norole_nocot,lusa_101,4,extraction,The judge,,1.0
qwen3_14b,english,participants,ext_def_exp,temp0.3_nodelim_norole_nocot,lusa_101,4,extraction,the documentary and testimonial evidence,,0.7
qwen3_14b,english,participants,ext_def_exp,temp0.3_nodelim_norole_nocot,lusa_101,4,extraction,the trial,,0.5
qwen3_14b,english,participants,ext_def_exp,temp0.3_nodelim_norole_nocot,lusa_101,4,extraction,those two crimes,,0.6
qwen3_14b,english,participants,cls_def_exp,temp0.3_nodelim_norole_nocot,lusa_101,4,classification,The judge,Per,0.95
