["Homem", "Person"]
["Autoridade Marítima", "Organization"]
["Polícia Marítima", "Organization"]
["PSP", "Organization"]
["Bombeiros Voluntários", "Organization"]
["Hospital de Angra do Heroísmo", "Facility"]
["Terceira", "Location"]
["Costa da Terceira", "Location"]
["Costa leste da Terceira", "Location"]
["Angra do Heroísmo", "Location"]
["Praia da Vitória", "Location"]
["Lisboa", "Location"]
["Açores", "Location"]
["Zona rochosa", "Object"]
["Domínio público marítimo", "Location"]
["Zona de difícil acesso", "Location"]
["Comando-Local da Polícia Marítima", "Organization"]<|eot_id|>
