modelo,entity,doc_id,template,complete_prediction,token,pred_type,matched_annotation,full_matched_sentence,ann_entity_id,annt_type,result,word_category,pct_tp_participant_level,result_type
qwen3_14b,participants,lusa_1,ext_def_exp_temp0.3_nodelim_norole_nocot,['people'],people,,people,Covid-19: GNR ended illegal party with 50 people in São Brás de Alportel,54,Per,tp,Generic Actors,1.0,EXACT
qwen3_14b,participants,lusa_1,ext_def_exp_temp0.3_nodelim_norole_nocot,['gnr'],gnr,,GNR,Covid-19: GNR ended illegal party with 50 people in São Brás de Alportel,48,Org,tp,Nao definido,1.0,EXACT
qwen3_14b,participants,lusa_1,ext_def_exp_temp0.3_nodelim_norole_nocot,['bar'],bar,,bar,"On Saturday, the GNR ended an illegal party in a bar in Corotelo, in the municipality of São Brás de Alportel, which brought together around 50 people, it was announced today.",118,Fac,tp,Nao definido,1.0,EXACT
qwen3_14b,participants,lusa_1,ext_def_exp_temp0.3_nodelim_norole_nocot,"['50', 'people']",50,,people,Covid-19: GNR ended illegal party with 50 people in São Brás de Alportel,54,Per,fp,Nao definido,0.6666666666666666,PARTIAL
qwen3_14b,participants,lusa_1,ext_def_exp_temp0.3_nodelim_norole_nocot,"['50', 'people']",people,,people,Covid-19: GNR ended illegal party with 50 people in São Brás de Alportel,54,Per,tp,Generic Actors,0.6666666666666666,PARTIAL
qwen3_14b,participants,lusa_1,ext_def_exp_temp0.3_nodelim_norole_nocot,"['covid', '19', 'pandemic']",covid,,,,,,fp,Nao definido,0.0,MISS
qwen3_14b,participants,lusa_1,ext_def_exp_temp0.3_nodelim_norole_nocot,"['covid', '19', 'pandemic']",19,,,,,,fp,Nao definido,0.0,MISS
qwen3_14b,participants,lusa_1,ext_def_exp_temp0.3_nodelim_norole_nocot,"['covid', '19', 'pandemic']",pandemic,,,,,,fp,Nao definido,0.0,MISS
qwen3_14b,participants,lusa_1,ext_def_exp_temp0.3_nodelim_norole_nocot,['owner'],the,,the owner,The note also states that the owner was identified and “an administrative offense notice” was drawn up.,105,Per,fn,Articles,0.6666666666666666,PARTIAL
qwen3_14b,participants,lusa_1,ext_def_exp_temp0.3_nodelim_norole_nocot,['owner'],owner,,the owner,The note also states that the owner was identified and “an administrative offense notice” was drawn up.,105,Per,tp,Nao definido,0.6666666666666666,PARTIAL
qwen3_14b,participants,lusa_1,ext_def_exp_temp0.3_nodelim_norole_nocot,"['faro', 'territorial', 'command', 'of', 'the', 'gnr']",the,,the Faro Territorial Command,"Editorial, October 11, 2020",59,Org,fn,Articles,0.6,PARTIAL
qwen3_14b,participants,lusa_1,ext_def_exp_temp0.3_nodelim_norole_nocot,"['faro', 'territorial', 'command', 'of', 'the', 'gnr']",faro,,the Faro Territorial Command,"Editorial, October 11, 2020",59,Org,tp,Nao definido,0.6,PARTIAL
qwen3_14b,participants,lusa_1,ext_def_exp_temp0.3_nodelim_norole_nocot,"['faro', 'territorial', 'command', 'of', 'the', 'gnr']",territorial,,the Faro Territorial Command,"Editorial, October 11, 2020",59,Org,tp,Nao definido,0.6,PARTIAL
qwen3_14b,participants,lusa_1,ext_def_exp_temp0.3_nodelim_norole_nocot,"['faro', 'territorial', 'command', 'of', 'the', 'gnr']",command,,the Faro Territorial Command,"Editorial, October 11, 2020",59,Org,tp,Nao definido,0.6,PARTIAL
qwen3_14b,participants,lusa_1,ext_def_exp_temp0.3_nodelim_norole_nocot,"['faro', 'territorial', 'command', 'of', 'the', 'gnr']",of,,the Faro Territorial Command,"Editorial, October 11, 2020",59,Org,fp,Prepositions & Connectives,0.6,PARTIAL
qwen3_14b,participants,lusa_1,ext_def_exp_temp0.3_nodelim_norole_nocot,"['faro', 'territorial', 'command', 'of', 'the', 'gnr']",gnr,,the Faro Territorial Command,"Editorial, October 11, 2020",59,Org,fp,Nao definido,0.6,PARTIAL
qwen3_14b,participants,lusa_1,ext_def_exp_temp0.3_nodelim_norole_nocot,"['são', 'de', 'alportel', 'territorial', 'post']",são,,Territorial Post,"Editorial, October 11, 2020",131,Fac,fp,Nao definido,0.5714285714285714,PARTIAL
qwen3_14b,participants,lusa_1,ext_def_exp_temp0.3_nodelim_norole_nocot,"['são', 'de', 'alportel', 'territorial', 'post']",de,,Territorial Post,"Editorial, October 11, 2020",131,Fac,fp,Nao definido,0.5714285714285714,PARTIAL
qwen3_14b,participants,lusa_1,ext_def_exp_temp0.3_nodelim_norole_nocot,"['são', 'de', 'alportel', 'territorial', 'post']",alportel,,Territorial Post,"Editorial, October 11, 2020",131,Fac,fp,Nao definido,0.5714285714285714,PARTIAL
qwen3_14b,participants,lusa_1,ext_def_exp_temp0.3_nodelim_norole_nocot,"['são', 'de', 'alportel', 'territorial', 'post']",territorial,,Territorial Post,"Editorial, October 11, 2020",131,Fac,tp,Nao definido,0.5714285714285714,PARTIAL
qwen3_14b,participants,lusa_1,ext_def_exp_temp0.3_nodelim_norole_nocot,"['são', 'de', 'alportel', 'territorial', 'post']",post,,Territorial Post,"Editorial, October 11, 2020",131,Fac,tp,Nao definido,0.5714285714285714,PARTIAL
qwen3_14b,participants,lusa_1,ext_def_exp_temp0.3_nodelim_norole_nocot,['soldiers'],soldiers,,soldiers,"Editorial, October 11, 2020",64,Per,tp,Nao definido,1.0,EXACT
qwen3_14b,participants,lusa_1,ext_def_exp_temp0.3_nodelim_norole_nocot,['corotelo'],corotelo,,Corotelo,"On Saturday, the GNR ended an illegal party in a bar in Corotelo, in the municipality of São Brás de Alportel, which brought together around 50 people, it was announced today.",51,Pl_civil,tp,Nao definido,1.0,EXACT
qwen3_14b,participants,lusa_1,ext_def_exp_temp0.3_nodelim_norole_nocot,"['drinking', 'establishment']",drinking,,drinking establishment,"In a statement, the Faro Territorial Command of the GNR said that, following a complaint reporting the existence of “a party with live music in a drinking establishment”, soldiers from the São de Alportel Territorial Post went to the location to monitor the incident.",61,Fac,tp,Nao definido,1.0,EXACT
qwen3_14b,participants,lusa_1,ext_def_exp_temp0.3_nodelim_norole_nocot,"['drinking', 'establishment']",establishment,,drinking establishment,"In a statement, the Faro Territorial Command of the GNR said that, following a complaint reporting the existence of “a party with live music in a drinking establishment”, soldiers from the São de Alportel Territorial Post went to the location to monitor the incident.",61,Fac,tp,Nao definido,1.0,EXACT
