["GNR","Organization"]
["GNR detém dois homens","Sentence"]
["GNR deteve dois homens","Sentence"]
["duis homens","Person"]
["34 anos","Number"]
["43 anos","Number"]
["Setúbal","Location"]
["Sines","Location"]
["distrito de Setúbal","Location"]
["sábado","Date"]
["patrulhamento","Event"]
["local já referenciado por tráfico de estupefacientes","Location"]
["concelho de Sines","Location"]
["tráfico de estupefacientes","Nature"]
["movimentações suspeitas","Event"]
["militares","Person"]
["transação","Event"]
["1.673 doses de estupefacientes","Object"]
["1.570 doses de heroína","Object"]
["103 doses de cocaína","Object"]
["844 euros em numerário","Object"]
["veículo","Object"]
["quatro telemóveis","Object"]
["Tribunal Judicial de Santiago do Cacém","Location"]
["primeiro interrogatório judicial","Event"]
["aplicação de eventuais medidas de coação","Event"]<|eot_id|>
