```json
[
  ["Homem", "Person"],
  ["48 anos", "Other"],
  ["morre", "Other"],
  ["acidente de trabalho", "Other"],
  ["Mogadouro", "Pl_capital"],
  ["Vilarinhos dos Galegos", "Pl_capital"],
  ["Concelho de Mogadouro", "Pl_capital"],
  ["distrito de Bragança", "Pl_capital"],
  ["Lusa", "Org"],
  ["fonte dos bombeiros", "Per"],
  ["Trata-se de", "Other"],
  ["acidente que envolve", "Other"],
  ["queda em altura", "Other"],
  ["O homem de", "Other"],
  ["48 anos", "Other"],
  ["trabalhava numa", "Other"],
  ["obra de construção civil", "Other"],
  ["A vítima acabaria", "Other"],
  ["por não resistir", "Other"],
  ["acabando por", "Other"],
  ["falecer quando", "Other"],
  ["estava a ser transportada", "Other"],
  ["por ambulância", "Other"],
  ["para o campo de", "Other"],
  ["futebol", "Other"],
  ["onde depois seria", "Other"],
  ["helitransportada", "Other"],
  ["para um hospital", "Other"],
  ["de referência", "Other"]
]
```<end_of_turn>
