modelo,entity,doc_id,template,complete_prediction,token,pred_type,matched_annotation,full_matched_sentence,ann_entity_id,annt_type,result,word_category,pct_tp_participant_level,result_type
qwen3_14b,participants,lusa_1,ext_exp_temp0.3_nodelim_norole_nocot,"['50', 'pessoas']",50,,as pessoas,Os militares desmobilizaram as pessoas para “cumprimento das normas referentes à pandemia de covid-19”.,T37,Per,fp,Nao definido,0.5,PARTIAL
qwen3_14b,participants,lusa_1,ext_exp_temp0.3_nodelim_norole_nocot,"['50', 'pessoas']",as,,as pessoas,Os militares desmobilizaram as pessoas para “cumprimento das normas referentes à pandemia de covid-19”.,T37,Per,fn,Artigos,0.5,PARTIAL
qwen3_14b,participants,lusa_1,ext_exp_temp0.3_nodelim_norole_nocot,"['50', 'pessoas']",pessoas,,as pessoas,Os militares desmobilizaram as pessoas para “cumprimento das normas referentes à pandemia de covid-19”.,T37,Per,tp,Substantivos Genéricos (Atores),0.5,PARTIAL
qwen3_14b,participants,lusa_1,ext_exp_temp0.3_nodelim_norole_nocot,"['comando', 'territorial', 'de', 'faro', 'da', 'gnr']",o,,o Comando Territorial,"A GNR acabou no sábado com uma festa ilegal num bar em Corotelo, concelho de São Brás de Alportel, que reunia cerca de 50 pessoas, foi hoje anunciado.",T29,Org,fn,Artigos,0.4444444444444444,PARTIAL
qwen3_14b,participants,lusa_1,ext_exp_temp0.3_nodelim_norole_nocot,"['comando', 'territorial', 'de', 'faro', 'da', 'gnr']",comando,,o Comando Territorial,"A GNR acabou no sábado com uma festa ilegal num bar em Corotelo, concelho de São Brás de Alportel, que reunia cerca de 50 pessoas, foi hoje anunciado.",T29,Org,tp,Nao definido,0.4444444444444444,PARTIAL
qwen3_14b,participants,lusa_1,ext_exp_temp0.3_nodelim_norole_nocot,"['comando', 'territorial', 'de', 'faro', 'da', 'gnr']",territorial,,o Comando Territorial,"A GNR acabou no sábado com uma festa ilegal num bar em Corotelo, concelho de São Brás de Alportel, que reunia cerca de 50 pessoas, foi hoje anunciado.",T29,Org,tp,Nao definido,0.4444444444444444,PARTIAL
qwen3_14b,participants,lusa_1,ext_exp_temp0.3_nodelim_norole_nocot,"['comando', 'territorial', 'de', 'faro', 'da', 'gnr']",de,,o Comando Territorial,"A GNR acabou no sábado com uma festa ilegal num bar em Corotelo, concelho de São Brás de Alportel, que reunia cerca de 50 pessoas, foi hoje anunciado.",T29,Org,fp,Preposições e Contrações,0.4444444444444444,PARTIAL
qwen3_14b,participants,lusa_1,ext_exp_temp0.3_nodelim_norole_nocot,"['comando', 'territorial', 'de', 'faro', 'da', 'gnr']",faro,,o Comando Territorial,"A GNR acabou no sábado com uma festa ilegal num bar em Corotelo, concelho de São Brás de Alportel, que reunia cerca de 50 pessoas, foi hoje anunciado.",T29,Org,fp,Nao definido,0.4444444444444444,PARTIAL
qwen3_14b,participants,lusa_1,ext_exp_temp0.3_nodelim_norole_nocot,"['comando', 'territorial', 'de', 'faro', 'da', 'gnr']",da,,o Comando Territorial,"A GNR acabou no sábado com uma festa ilegal num bar em Corotelo, concelho de São Brás de Alportel, que reunia cerca de 50 pessoas, foi hoje anunciado.",T29,Org,fp,Preposições e Contrações,0.4444444444444444,PARTIAL
qwen3_14b,participants,lusa_1,ext_exp_temp0.3_nodelim_norole_nocot,"['comando', 'territorial', 'de', 'faro', 'da', 'gnr']",gnr,,o Comando Territorial,"A GNR acabou no sábado com uma festa ilegal num bar em Corotelo, concelho de São Brás de Alportel, que reunia cerca de 50 pessoas, foi hoje anunciado.",T29,Org,fp,Nao definido,0.4444444444444444,PARTIAL
