word,frequency
de,1435
a,674
o,517
e,395
da,357
em,331
do,302
que,302
no,263
um,252
com,196
na,194
homem,191
foi,184
uma,180
para,166
por,155
anos,137
gnr,137
hoje,120
se,116
2020,116
os,116
à,113
fonte,106
ao,93
local,77
dos,74
as,74
das,72
polícia,67
disse,62
segundo,61
sido,61
lusa,55
porto,54
foram,54
ainda,52
vítima,52
não,50
comunicado,49
vila,48
detido,47
nov,47
após,46
bombeiros,44
ter,44
pela,43
dez,42
cerca,41
tendo,41
feira,41
distrito,40
dois,40
estado,40
pelo,38
depois,38
pessoas,38
lisboa,37
hospital,36
comando,36
suspeito,35
ser,35
nova,35
numa,33
fogo,33
concelho,31
acordo,31
sua,31
autoridades,30
crime,30
quando,30
psp,30
militares,30
num,30
durante,29
braga,29
agência,29
às,28
acidente,28
out,27
30,27
força,27
dado,27
judiciária,27
investigação,27
já,26
alerta,26
tinha,25
mulher,25
tribunal,25
pelas,25
19,24
policial,24
onde,24
viatura,24
quatro,23
casa,23
emergência,23
morreu,23
sem,23
guarda,23
terá,23
mesma,22
pj,22
morte,22
arma,22
ocorreu,22
corpo,22
nacional,22
20,22
castelo,22
12,21
arguido,21
nota,21
tráfico,21
são,21
encontrado,21
violência,21
prisão,21
está,20
três,20
gaia,20
primeiro,20
mas,20
judicial,20
ação,20
mais,20
sequência,20
estava,19
duas,19
homens,19
incêndio,19
caso,19
informou,19
entre,19
euros,19
territorial,19
acg,18
grave,18
ficou,18
aveiro,18
seu,18
setúbal,18
médica,18
é,18
governo,18
00,17
socorro,17
segurança,17
detenção,17
cidade,17
segunda,17
junto,17
sete,16
rio,16
apreendeu,16
aquela,16
até,16
lhe,16
nos,16
anunciou,16
zona,16
morto,16
adiantou,16
doméstica,16
viana,15
veículo,15
jap,15
detém,15
deteve,15
como,15
santa,15
proteção,15
acrescentou,15
freguesia,15
16,15
refere,15
covid,15
transportado,15
quilos,15
marítima,15
vítimas,15
ferido,15
17,15
25,14
presente,14
15,14
coação,14
também,14
autoridade,14
armas,14
âmbito,14
devido,14
distrital,14
esta,14
operações,14
morre,14
ferimentos,14
ocorrência,13
posto,13
através,13
22,13
nas,13
óbito,13
sobre,13
droga,13
14,13
física,13
embarcação,13
jfo,13
medidas,13
cdos,13
referiu,13
indicou,13
penafiel,13
metros,13
60,13
viaturas,13
controlo,12
reanimação,12
50,12
desde,12
10,12
pelos,12
mãe,12
província,12
antecedentes,12
ataque,12
criminais,12
outro,12
civil,12
domingo,12
este,12
sábado,12
norte,12
companheira,12
doses,12
automóvel,12
corporação,12
incidente,12
vida,12
estão,12
haxixe,11
roc,11
maria,11
buscas,11
11,11
dentro,11
explicou,11
condutor,11
mesmo,11
fuga,11
país,11
vmer,11
interrogatório,11
ministério,11
criminal,11
estrada,11
vários,11
preventiva,11
encontra,11
portalegre,11
ministro,11
seis,11
tarde,10
habitação,10
gravidade,10
era,10
27,10
núcleo,10
encontrava,10
jovem,10
menos,10
cinco,10
tratos,10
meio,10
jgj,10
além,10
meios,10
prática,10
unidade,10
feridos,10
detidos,10
ano,10
posse,10
contra,10
ameaças,10
13,10
leiria,10
maus,10
fiscalização,10
comandante,9
pública,9
declarado,9
homicídio,9
conta,9
crimes,9
árvore,9
noite,9
real,9
matou,9
ribeira,9
interior,9
forma,9
celorico,9
república,9
suspeitos,9
21,9
centro,9
busca,9
locais,9
ex,9
luanda,9
mp,9
ou,9
operacionais,9
trabalho,9
inem,9
ambulância,9
instituto,8
denúncia,8
total,8
público,8
guimarães,8
mcl,8
factos,8
cometlis,8
estar,8
nove,8
informações,8
despiste,8
beira,8
baleado,8
transporte,8
início,8
grande,8
acrescenta,8
equipa,8
felgueiras,8
sofreu,8
ligeiros,8
eletrónica,8
saúde,8
veículos,8
elementos,8
austrália,8
boiar,8
48,8
apreensão,8
cocaína,8
transportada,8
deste,8
aos,8
milhões,8
operação,8
famalicão,8
lê,8
ilegal,8
dia,8
daquela,8
santo,8
msp,8
acabou,8
água,8
câmara,8
legal,8
estupefacientes,8
suspeitas,8
porta,8
serviço,8
procuradoria,7
remetidos,7
09,7
metropolitano,7
rua,7
qualquer,7
bebidas,7
mil,7
grupo,7
geral,7
provocou,7
perto,7
josé,7
praia,7
basto,7
tiro,7
causas,7
costa,7
meses,7
redação,7
altura,7
ponte,7
cadáver,7
presidente,7
18,7
barcelos,7
casal,7
vai,7
estaria,7
ligeiro,7
aeroporto,7
apreende,7
oito,7
maputo,7
alto,7
há,7
suspeita,7
jls,7
agressor,7
enquanto,7
quarta,7
26,7
voluntários,7
todos,7
branco,7
estabelecimento,7
tomou,7
domiciliária,7
várias,7
24,7
voz,7
disparos,7
aplicação,7
moçambique,6
restaurante,6
foz,6
estiveram,6
outubro,6
contraordenação,6
proibido,6
lagoa,6
mobilizados,6
sul,6
04,6
vcp,6
idanha,6
familiar,6
exploração,6
página,6
37,6
imprensa,6
graves,6
imediato,6
mogadouro,6
outras,6
envolveu,6
28,6
agora,6
responsável,6
hospitalar,6
apreendido,6
52,6
danos,6
patrulhamento,6
instrução,6
quem,6
residência,6
medicina,6
membros,6
informaram,6
lima,6
esteve,6
entretanto,6
seia,6
vivia,6
manhã,6
indiciado,6
localidade,6
alegadamente,6
menores,6
naquela,6
teve,6
klm,6
évora,6
amarante,6
morreram,6
diligências,6
tipo,6
33,6
terça,6
desordem,6
cair,6
pena,6
2,6
dinheiro,6
apenas,6
heroína,6
cumprimento,6
armado,6
afirmou,6
policiais,6
23,6
jps,6
atingido,6
descarga,6
ar,6
acusado,6
constituído,6
filha,6
queda,6
caído,6
matosinhos,6
antónio,6
municipal,6
crianças,6
cardiorrespiratória,6
chegou,6
500,6
futebolista,6
guadiana,5
coima,5
cissé,5
soumaila,5
alegado,5
ataques,5
publicada,5
munições,5
envolvidos,5
revelou,5
martins,5
sintra,5
queimaduras,5
deu,5
debate,5
consumo,5
paredes,5
neste,5
paragem,5
encontraram,5
psicologicamente,5
valença,5
assim,5
ficaram,5
conde,5
telhado,5
joão,5
efetuada,5
houve,5
muito,5
vigilância,5
tem,5
faca,5
400,5
presença,5
angola,5
criança,5
jogo,5
atropelamento,5
penaguião,5
bissau,5
france,5
quais,5
alguns,5
momento,5
auto,5
identificado,5
2017,5
pai,5
59,5
3,5
mértola,5
presentes,5
mortos,5
29,5
faro,5
deslocaram,5
55,5
amadora,5
síria,5
costeiro,5
mar,5
tubarão,5
branca,5
fontes,5
disseram,5
jef,5
terceiro,5
viveiros,5
atentado,5
pulseira,5
tca,5
lobos,5
aconteceu,5
animais,5
sexual,5
quase,5
telemóveis,5
possível,5
sob,5
prédio,5
espinho,5
quarentena,5
sendo,5
monção,5
terem,5
trabalhar,5
ricardo,5
madrugada,5
autor,5
medida,5
poste,5
camião,5
61,5
brava,5
47,5
edifício,5
idade,5
instalações,5
34,5
novembro,5
outros,5
feita,5
hotéis,5
maradona,5
adianta,5
valor,5
caranguejo,5
marta,5
anunciado,5
05,5
receber,5
primeira,5
investigar,5
começou,5
méxico,5
efluentes,4
solo,4
angra,4
lugar,4
fica,4
juiz,4
marvão,4
sapadores,4
natural,4
1,4
heroísmo,4
caiu,4
seus,4
esfaqueado,4
motorista,4
festa,4
desaparecido,4
angolana,4
teste,4
agressão,4
ele,4
reféns,4
geórgia,4
decurso,4
será,4
balas,4
apuraram,4
reiterada,4
hong,4
kong,4
belmonte,4
informação,4
comprimido,4
tentar,4
palmela,4
ir,4
trabalhava,4
desta,4
31,4
quinta,4
pilotos,4
ficando,4
trofa,4
facto,4
holandês,4
disparo,4
fugiu,4
final,4
gabinete,4
victoria,4
filhos,4
algarve,4
sines,4
sentido,4
cargo,4
circunstâncias,4
acabando,4
máquinas,4
discussão,4
moçambicana,4
motivos,4
prm,4
português,4
levaram,4
mortes,4
teria,4
ficado,4
caçadeira,4
inalação,4
fumo,4
chefe,4
residente,4
cães,4
volta,4
apreendida,4
comportamento,4
grau,4
islâmico,4
viena,4
agente,4
estádio,4
ilegais,4
diversos,4
avançou,4
motociclo,4
conduzia,4
tentativa,4
registado,4
china,4
ajuda,4
passou,4
2019,4
785,4
ucc,4
encaminhado,4
apm,4
barreiro,4
siv,4
planeamento,4
deslocou,4
aparentemente,4
apreendidos,4
qual,4
40,4
03,4
maia,4
contactar,4
estarreja,4
cisterna,4
apoiados,4
promes,4
alemanha,4
vm,4
referido,4
proprietário,4
trier,4
apoio,4
índia,4
mandado,4
afp,4
parte,4
novo,4
06,4
pinheiro,4
mendes,4
secretário,4
situação,4
ângulo,4
abc,4
gasolina,4
matar,4
estavam,4
noticiou,4
enviado,4
fpi,4
ocorrido,4
antes,4
confirmado,4
médico,4
suporte,4
arcos,4
valdevez,4
fazer,4
filipe,4
condenado,4
borracha,4
cabeceiras,4
tirso,4
manteve,4
libertação,4
jacarta,4
quilogramas,4
bens,4
capturado,4
captura,4
eua,4
via,4
atum,4
rabilho,4
pesca,4
08,4
lfs,4
seguimento,4
solidariedade,4
toneladas,4
berbigão,4
medical,4
mali,4
passado,4
center,4
imobiliário,4
pescado,4
espécie,4
fez,4
livre,4
jh,3
perigo,3
reunia,3
julho,3
retirado,3
então,3
indícios,3
confirmou,3
desapareceu,3
indivíduo,3
oficial,3
ambiental,3
informa,3
diretamente,3
algumas,3
nme,3
regional,3
apreender,3
embarcações,3
populares,3
terceira,3
contou,3
côa,3
famílias,3
últimos,3
mata,3
infração,3
calibre,3
elaborado,3
iorque,3
hyderabad,3
inundações,3
pgr,3
telemóvel,3
região,3
frança,3
população,3
oeste,3
visto,3
deles,3
testes,3
cartaxo,3
cunene,3
54,3
serra,3
necessidade,3
salientando,3
declarou,3
apuradas,3
maior,3
conseguiu,3
explica,3
canábis,3
semana,3
quarto,3
sinais,3
águas,3
6,3
social,3
rainha,3
quaisquer,3
alcobaça,3
amarrado,3
resultando,3
apartamento,3
crustáceos,3
militar,3
objetivo,3
recurso,3
madeira,3
pistola,3
paços,3
ferreira,3
detetaram,3
dada,3
pés,3
alertada,3
sozinho,3
69,3
eventual,3
transportadora,3
delito,3
56,3
apurar,3
alcoólicas,3
transportava,3
bivalves,3
tratar,3
bernardo,3
banco,3
atropelado,3
destacamento,3
caldas,3
combate,3
individuais,3
eleições,3
ej,3
crítico,3
realizada,3
localizado,3
ria,3
outra,3
mariscadores,3
esclarece,3
santarém,3
pandemia,3
ordem,3
referenciado,3
bairro,3
levou,3
habitual,3
havendo,3
assistido,3
divulgou,3
protesto,3
murtosa,3
jdn,3
02,3
mem,3
processo,3
qualificado,3
intervenção,3
aves,3
assistência,3
limpar,3
presse,3
aproximar,3
dezembro,3
descreve,3
desconhecendo,3
família,3
cortava,3
feridas,3
acontecido,3
trânsito,3
município,3
encontrada,3
conduzido,3
8,3
considerou,3
ela,3
62,3
machados,3
companhia,3
drogas,3
furtos,3
confeitaria,3
domiciliárias,3
compareceram,3
produto,3
estupefaciente,3
republicana,3
isolamento,3
morrer,3
funcionário,3
07,3
fardos,3
2012,3
olhão,3
caça,3
materiais,3
ei,3
suas,3
viajar,3
entregue,3
macron,3
fúteis,3
sala,3
melbourne,3
máxima,3
óbidos,3
caçar,3
vidas,3
colocado,3
perseguir,3
largo,3
portugal,3
construção,3
luz,3
ambiente,3
procuradores,3
guiné,3
gravemente,3
proibida,3
suficiente,3
bié,3
travessia,3
determinar,3
tondela,3
viseu,3
valongo,3
trata,3
poço,3
avião,3
motor,3
borba,3
profilático,3
feito,3
registada,3
ferida,3
autoestrada,3
sistema,3
2016,3
aldeia,3
quilómetros,3
detetada,3
grandes,3
agredido,3
bragança,3
obra,3
internacional,3
efetiva,3
deslocação,3
nível,3
01,3
coletividade,3
regras,3
atleta,3
nome,3
idosa,3
beja,3
300,3
abuso,3
mirandela,3
todo,3
jmc,3
desculpa,3
erros,3
líder,3
cais,3
decidiu,3
mortal,3
portimão,3
familiares,3
manutenção,3
corpos,3
douro,3
internet,3
svf,3
maltratar,3
ameaçar,3
espécies,3
lhes,3
dirigente,3
cidadãos,3
2021,3
oleiros,3
alportel,3
alex,3
apolinário,3
estamos,3
cima,3
posteriormente,3
devolvidos,3
recuperação,3
ligações,3
narcotráfico,3
capital,3
proibição,3
mês,3
cidadão,3
5,3
esposa,3
noroeste,3
fpa,3
feriu,3
projeto,3
punível,3
estes,3
rodoviária,3
jml,3
costas,3
causa,3
entrega,3
alverca,3
coma,3
desaparecimento,3
eletrocutado,2
brás,2
nfo,2
induzido,2
violação,2
dias,2
odeleite,2
envolvendo,2
gandarela,2
damasco,2
vitória,2
seria,2
viagem,2
levado,2
internacionais,2
horas,2
vivo,2
música,2
existência,2
aceitar,2
remuneratórios,2
suplementos,2
sic,2
angolanas,2
pecuários,2
pecuário,2
efluente,2
acusa,2
veda,2
período,2
sicários,2
sca,2
respetivas,2
habitat,2
chegada,2
arredores,2
emissão,2
vício,2
satisfazer,2
precisou,2
dando,2
gondomar,2
73,2
mataram,2
psicológicos,2
setembro,2
9,2
pandamari,2
veríssimo,2
lunda,2
tripulantes,2
indevidamente,2
processos,2
ver,2
eles,2
mensais,2
mapas,2
acusou,2
poder,2
controlado,2
raio,2
ameaçava,2
peculato,2
agentes,2
efetuaram,2
desaparecida,2
encontrou,2
pli,2
resgatado,2
tua,2
mad,2
dar,2
apurou,2
89,2
anp,2
vingança,2
relacionado,2
michoacán,2
mexicano,2
dessa,2
suplemento,2
incluiu,2
concluiu,2
desfecho,2
juarce,2
falha,2
estabelecimentos,2
têm,2
identificou,2
permitiu,2
atividade,2
ana,2
aeroportos,2
fazia,2
aérea,2
matter,2
lives,2
black,2
manifestação,2
profundidade,2
colega,2
mortalmente,2
próprios,2
carvalho,2
injúrias,2
montante,2
ontem,2
cara,2
poiares,2
velocidade,2
alta,2
manhattan,2
habitações,2
casas,2
tdi,2
el,2
minho,2
assaltos,2
registo,2
32,2
aeronave,2
aterrou,2
assalto,2
procura,2
instituição,2
regime,2
comercialização,2
mortais,2
espingarda,2
resultou,2
mobilizou,2
terrenos,2
movimentos,2
prisional,2
tubarões,2
deputados,2
identificação,2
trato,2
390,2
álcool,2
escalada,2
verbais,2
ofensas,2
físicas,2
milheirós,2
registadora,2
caixa,2
41,2
sindicato,2
air,2
redução,2
resgatados,2
58,2
terão,2
d,2
infante,2
começado,2
rn,2
anunciada,2
deputado,2
pmf,2
palácio,2
nacionalidade,2
tiveram,2
revela,2
sujeito,2
plano,2
salários,2
reduzir,2
si,2
baixas,2
constituiu,2
legislativas,2
agressões,2
divulgada,2
finanças,2
pedro,2
encontravam,2
estarem,2
minutos,2
meia,2
perante,2
46,2
injuriado,2
controlar,2
levada,2
europeia,2
enguia,2
gomes,2
fernandes,2
aceitou,2
postos,2
flagrante,2
pornografia,2
centenas,2
adiantando,2
desabou,2
200,2
povo,2
fyp,2
reforço,2
balança,2
nic,2
cultivo,2
evento,2
havia,2
campo,2
extinção,2
natureza,2
ilícitos,2
objetos,2
trimestre,2
arroios,2
mercado,2
ambulâncias,2
junho,2
jihadistas,2
cativeiro,2
antigo,2
san,2
negligência,2
alegada,2
trimarchi,2
clínica,2
entregues,2
mulheres,2
irmã,2
áreas,2
hotel,2
jardim,2
39,2
doentes,2
opositor,2
começaram,2
natal,2
venda,2
lei,2
desconhecido,2
situado,2
lmc,2
judiciais,2
aires,2
maioria,2
2018,2
indonésio,2
radical,2
nem,2
elemento,2
notícia,2
oposição,2
partido,2
igualmente,2
proibiu,2
organização,2
7,2
detetado,2
fresco,2
limitada,2
investimentos,2
empresas,2
quer,2
uso,2
pertence,2
islâmica,2
frente,2
indonésia,2
corporações,2
esfaqueamento,2
desentendimento,2
realizados,2
nordeste,2
fere,2
imediata,2
buenos,2
vivos,2
encontrarem,2
70,2
pacientes,2
cortiço,2
pedir,2
ido,2
negativo,2
seguia,2
lutucuta,2
sílvia,2
violar,2
afe,2
psicológica,2
imaturo,2
redações,2
pequim,2
comunicação,2
consumidor,2
refugiou,2
chamas,2
deflagrou,2
elaboração,2
terminar,2
75,2
marcas,2
devem,2
leonel,2
avenida,2
autarquia,2
totalmente,2
lamentou,2
ponta,2
asr,2
número,2
garrafa,2
extinto,2
pescadores,2
sair,2
mãos,2
vista,2
restauração,2
freamunde,2
vão,2
relacionada,2
coldre,2
detetadas,2
roupa,2
entrada,2
hall,2
indicação,2
evitar,2
declarações,2
torreira,2
000,2
mão,2
tv,2
mtavari,2
televisão,2
atropelada,2
autopsiado,2
localizada,2
tablet,2
suicídio,2
tratado,2
lá,2
luso,2
colisão,2
acionado,2
helicóptero,2
decorrer,2
idades,2
tidas,2
fizeram,2
equipas,2
esclarecimentos,2
obter,2
sousa,2
vale,2
resgate,2
desabitada,2
dados,2
condenou,2
colhido,2
cabo,2
levadas,2
